name,latitude,longitude
岐阜県,飛騨市
神岡町東雲,36.313326,137.312101
神岡町阿曽保,36.302279,137.328636
神岡町麻生野,36.325187,137.348899
神岡町朝浦,36.325272,137.295439
神岡町跡津川,36.409658,137.326599
神岡町石神,36.307967,137.350940
神岡町伊西,36.375598,137.338941
神岡町岩井谷,36.377855,137.399638
神岡町打保,36.397658,137.467172
神岡町江馬,36.330068,137.304568
神岡町大笠,36.281060,137.227322
神岡町大多和,36.436241,137.376592
神岡町柏原,36.269494,137.233809
神岡町釜崎,36.317994,137.298023
神岡町小萱,36.296645,137.305420
神岡町坂富,36.327107,137.302245
神岡町桜ケ丘,36.327722,137.304283
神岡町佐古,36.414117,137.356864
神岡町鹿間,36.359518,137.305303
神岡町下之本,36.399971,137.375494
神岡町城ケ丘,36.329973,137.302948
神岡町杉山,36.450337,137.300355
神岡町数河,36.302226,137.344899
神岡町巣山,36.276164,137.260255
神岡町瀬戸,36.411431,137.391584
神岡町館野,36.319001,137.304980
神岡町谷,36.454786,137.242935
神岡町寺林,36.323841,137.272384
神岡町土,36.416355,137.300955
神岡町殿,36.324116,137.308098
神岡町中山,36.449319,137.250850
神岡町梨ケ根,36.329881,137.279371
神岡町西,36.305823,137.235009
神岡町西漆山,36.402615,137.281063
神岡町西茂住,36.425110,137.265076
神岡町野首,36.297999,137.322411
神岡町東漆山,36.388509,137.285320
神岡町東,36.337599,137.304513
神岡町東茂住,36.436744,137.289814
神岡町伏方,36.316271,137.249188
神岡町二ツ屋,36.357066,137.259125
神岡町船津,36.337545,137.289757
神岡町堀之内,36.320691,137.260793
神岡町牧,36.398402,137.304850
神岡町丸山,36.298013,137.313553
神岡町緑ケ丘,36.322823,137.302885
神岡町森茂,36.369007,137.372190
神岡町山田,36.291047,137.255286
神岡町夕陽ケ丘,36.332095,137.307748
神岡町横山,36.455699,137.279969
神岡町吉ケ原,36.362527,137.293307
神岡町吉田,36.300734,137.282773
神岡町和佐府,36.410197,137.409845
神岡町和佐保,36.339898,137.328979
神岡町割石,36.358543,137.280503
河合町天生,36.264082,136.994813
河合町稲越,36.247514,137.075086
河合町有家,36.297499,137.085350
河合町大谷,36.286850,137.097213
河合町元田,36.275581,137.042733
河合町小無雁,36.288988,137.118548
河合町上ケ島,36.302999,137.031535
河合町新名,36.276782,137.073258
河合町月ケ瀬,36.251154,137.005339
河合町角川,36.320161,137.108484
河合町中澤上,36.306534,137.080647
河合町羽根,36.308999,137.052405
河合町二ツ屋,36.350603,137.065813
河合町舟原,36.208103,137.056555
河合町保,36.223804,136.997595
河合町保木林,36.308910,137.066693
古川町朝開,36.233366,137.180384
古川町壱之,36.235555,137.185858
古川町畦畑,36.205078,137.132140
古川町大野,36.216000,137.203486
古川町片原,36.233447,137.193122
古川町金森,36.236162,137.189109
古川町上気多,36.243489,137.203833
古川町上野,36.241495,137.167669
古川町上,36.222205,137.196485
古川町貴船,36.230185,137.191556
古川町黒内,36.232574,137.106074
古川町袈裟丸,36.262238,137.148934
古川町幸栄,36.229168,137.187467
古川町是重,36.226707,137.197479
古川町栄,36.239580,137.179767
古川町笹ヶ洞,36.231768,137.135768
古川町三之,36.234690,137.184021
古川町下気多,36.246833,137.188506
古川町下野,36.251646,137.147694
古川町新栄,36.240860,137.182109
古川町末真,36.278457,137.148341
古川町末広,36.237764,137.183868
古川町杉崎,36.261166,137.162992
古川町数河,36.295415,137.195984
古川町太江,36.264736,137.196427
古川町高野,36.224063,137.175807
古川町谷,36.270078,137.125281
古川町寺地,36.237794,137.145527
古川町戸市,36.282118,137.164579
古川町殿,36.235116,137.188231
古川町中野,36.238994,137.154129
古川町南成,36.227510,137.184559
古川町弐之,36.235660,137.184358
古川町沼,36.248214,137.176178
古川町野口,36.277625,137.138474
古川町信包,36.256587,137.117937
古川町東,36.231501,137.194268
古川町平岩,36.228926,137.163454
古川町本,36.238202,137.186124
古川町増島,36.231617,137.190085
古川町宮城,36.239482,137.176468
古川町向,36.224160,137.186552
古川町若宮,36.234398,137.194550
宮川町小豆沢,36.435260,137.191944
宮川町鮎飛,36.424855,137.213366
宮川町打保,36.373132,137.155534
宮川町大無雁,36.301713,137.124166
宮川町落合,36.309280,137.119450
宮川町加賀沢,36.436184,137.232913
宮川町岸奥,36.313688,137.139487
宮川町桑野,36.411019,137.171946
宮川町小谷,36.301402,137.154794
宮川町三川原,36.357528,137.181646
宮川町塩屋,36.378037,137.200233
宮川町菅沼,36.337064,137.226960
宮川町杉原,36.418274,137.186404
宮川町巣之内,36.344387,137.181764
宮川町巣納谷,36.417580,137.202599
宮川町高牧,36.342920,137.160873
宮川町種蔵,36.354172,137.194607
宮川町戸谷,36.397330,137.160201
宮川町中沢上,36.395997,137.180635
宮川町西忍,36.341356,137.141824
宮川町祢宜ケ沢上,36.405409,137.192609
宮川町野首,36.323417,137.138749
宮川町林,36.321955,137.149480
宮川町洞,36.398547,137.221603
宮川町牧戸,36.325942,137.160417
宮川町丸山,36.324672,137.182678
宮川町万波,36.405702,137.128635
宮川町森安,36.338494,137.115758
宮川町山之山,36.386559,137.195694
