name,latitude,longitude
岐阜県,各務原市
鵜沼,35.422189,136.943092
鵜沼朝日,35.391102,136.893193
鵜沼大伊木,35.391086,136.912488
鵜沼各務原,35.402673,136.898510
鵜沼川崎,35.404863,136.879504
鵜沼小伊木,35.391922,136.930126
鵜沼台,35.407678,136.946837
鵜沼大安寺,35.419571,136.933264
鵜沼西,35.404904,136.933618
鵜沼羽場,35.405900,136.918641
鵜沼東,35.404948,136.939490
鵜沼古市場,35.395509,136.930729
鵜沼宝積寺,35.401203,136.956231
鵜沼真名越,35.399653,136.926122
鵜沼丸子,35.391533,136.917699
鵜沼三ツ池,35.404677,136.883092
鵜沼南,35.397772,136.938260
鵜沼山崎,35.399372,136.941019
大佐野,35.376416,136.841871
大野,35.389773,136.816904
尾崎北,35.426218,136.830627
尾崎西,35.425327,136.826230
尾崎南,35.422102,136.828286
各務,35.425504,136.926423
各務おがせ,35.424285,136.902842
各務西,35.414665,136.885588
各務東,35.424951,136.912725
各務船山,35.419008,136.885819
各務山の前,35.406196,136.888562
神置,35.377735,136.827175
上中屋,35.375183,136.849664
川崎,35.401871,136.873856
川島笠田,35.371498,136.821441
川島北山,35.366357,136.804461
川島小網,35.367087,136.851590
川島河田,35.363248,136.831441
川島竹早,35.363382,136.840343
川島松倉,35.368039,136.834299
川島松原,35.362719,136.824952
川島緑,35.364759,136.820361
川島渡,35.363391,136.797891
金属団地,35.393484,136.829143
小佐野,35.390511,136.829333
桜木,35.397011,136.953741
下切,35.376756,136.867841
下中屋,35.375145,136.832086
上戸,35.384711,136.847835
新鵜沼台,35.405838,136.950552
須衛,35.438008,136.908339
須衛稲田,35.435870,136.901213
須衛,35.436389,136.890481
蘇原赤羽根,35.422479,136.854814
蘇原旭,35.403489,136.865496
蘇原飛鳥,35.425466,136.868873
蘇原伊吹,35.422553,136.859262
蘇原大島,35.416229,136.845332
蘇原柿沢,35.404461,136.862965
蘇原菊園,35.403603,136.867269
蘇原北山,35.430652,136.863166
蘇原吉新,35.408237,136.856439
蘇原希望,35.402962,136.854965
蘇原清住,35.425777,136.874968
蘇原熊田,35.415408,136.868329
蘇原興亜,35.404205,136.871912
蘇原坂井,35.415669,136.880604
蘇原栄,35.403757,136.868758
蘇原早苗,35.403437,136.863501
蘇原申子,35.410946,136.854187
蘇原沢上,35.403359,136.860206
蘇原島崎,35.416275,136.860137
蘇原昭栄,35.418741,136.869949
蘇原新栄,35.410106,136.864494
蘇原新生,35.421147,136.882649
蘇原瑞雲,35.403847,136.870365
蘇原青雲,35.411880,136.859261
蘇原中央,35.411410,136.880581
蘇原月丘,35.402416,136.867598
蘇原寺島,35.415279,136.861863
蘇原東栄,35.410538,136.873625
蘇原東門,35.421657,136.876997
蘇原外山,35.422212,136.869527
蘇原野口,35.414252,136.865006
蘇原花園,35.411262,136.845667
蘇原東島,35.414593,136.871672
蘇原古市場,35.416663,136.865152
蘇原北陽,35.425469,136.859839
蘇原三柿野,35.399038,136.880110
蘇原瑞穂,35.413583,136.844536
蘇原緑,35.401263,136.867705
蘇原宮代,35.424228,136.846645
蘇原宮塚,35.422661,136.850247
蘇原村雨,35.403195,136.857396
蘇原持田,35.431711,136.876237
蘇原吉野,35.415093,136.853957
蘇原六軒,35.400222,136.867704
蘇原和合,35.416255,136.873432
つつじが丘,35.411640,136.929088
那加吾妻,35.400232,136.838303
那加荒田,35.400995,136.819985
那加芦原,35.417952,136.817470
那加石山,35.407782,136.827246
那加岩地,35.411671,136.816826
那加甥田,35.404452,136.844022
那加扇平,35.421401,136.834792
那加大谷,35.401825,136.822896
那加大洞,35.427862,136.832271
那加織田,35.399684,136.850221
那加御屋敷,35.413909,136.836759
那加兼橋,35.404118,136.817803
那加萱場,35.393445,136.823823
那加柄山,35.419911,136.823626
那加官有地無番地,35.392002,136.867496
那加北栄,35.399027,136.839306
那加北洞,35.427706,136.842325
那加桐野,35.425927,136.816867
那加桐野外二ケ所大字入会地,35.398185,136.859121
那加楠,35.396417,136.843301
那加五反田,35.401347,136.816487
那加琴が丘,35.416350,136.818975
那加幸,35.403968,136.832441
那加栄,35.397844,136.839046
那加桜,35.398802,136.847805
那加昭南,35.404199,136.853259
那加新加納,35.397306,136.826220
那加新加納外六ケ所大字入会地,35.397088,136.851671
那加神田,35.403741,136.820995
那加新田,35.404345,136.824929
那加新那加,35.400068,136.833919
那加住吉,35.397660,136.848765
那加大東,35.396271,136.846086
那加太平,35.401717,136.831453
那加大門,35.399029,136.816176
那加手力,35.408764,136.824905
那加東亜,35.402390,136.837667
那加東新,35.401394,136.852261
那加土山,35.416011,136.817671
那加長塚,35.407056,136.820215
那加西市場,35.414335,136.821319
那加西浦,35.395448,136.816102
那加西那加,35.397196,136.834703
那加西野,35.398849,136.832660
那加日新,35.394211,136.815080
那加野畑,35.407737,136.830941
那加信長,35.399756,136.853451
那加巾下,35.409418,136.845839
那加浜見,35.401394,136.824654
那加東那加,35.397265,136.837162
那加東野,35.413811,136.839602
那加日之出,35.398827,136.836933
那加雲雀,35.402308,136.844459
那加日吉,35.398653,136.828516
那加不動丘,35.406649,136.845540
那加本,35.399212,136.835904
那加前野,35.410502,136.833085
那加前洞新,35.404841,136.835320
那加緑,35.392205,136.817784
那加南栄,35.396594,136.838877
那加宮浦,35.401047,136.829153
那加元,35.398951,136.838103
那加門前,35.398315,136.840533
那加山後,35.410129,136.819861
那加山崎,35.418327,136.840335
那加山下,35.413622,136.831658
那加雄飛ケ丘,35.403548,136.850505
那加楽天地,35.398719,136.835164
成清,35.385234,136.823676
入会,35.407834,136.851686
前渡北,35.388400,136.873588
前渡西,35.379708,136.873256
前渡西町十,35.388114,136.867883
前渡東,35.381101,136.880306
松が丘,35.411223,136.922680
松本,35.375450,136.860732
三井北,35.396091,136.835546
三井,35.394882,136.834701
三井東,35.394134,136.843367
三井山,35.388091,136.845559
八木山,35.413923,136.931102
山脇,35.383754,136.854206
緑苑中,35.412246,136.945754
緑苑東,35.414754,136.951017
東山,35.433549,136.881375
テクノプラザ,35.426487,136.890370
