let,num
海,44
津,47
町,78
秋,1
江,5
油,1
島,5
石,1
亀,1
稲,1
山,3
東,2
大,1
和,1
田,33
金,1
廻,1
鹿,1
野,10
神,1
桐,1
萱,1
草,1
場,1
五,1
駒,4
ケ,1
七,1
右,1
衛,1
門,1
新,8
瀬,3
古,2
外,1
浜,2
高,3
須,3
立,1
中,2
内,1
記,1
長,3
久,1
保,1
成,1
戸,3
西,2
小,2
沼,1
平,15
原,2
日,1
深,1
福,3
一,1
色,1
岡,2
札,1
帆,1
引,1
本,1
阿,1
弥,1
松,2
木,1
馬,1
目,1
万,1
寿,1
宮,1
地,2
森,1
下,1
安,3
南,20
濃,20
上,1
河,1
太,1
奥,2
条,2
入,1
会,1
境,1
志,2
鶴,1
屋,1
徳,1
庭,1
羽,1
沢,1
早,1
崎,1
吉,1
今,1
尾,1
勝,1
賀,2
三,1
郷,1
蛇,1
池,1
者,1
結,1
土,1
倉,1
寺,1
幡,1
仏,1
師,1
川,1
脇,1
