name,latitude,longitude
岐阜県,瑞穂市
居倉,35.419565,136.642732
稲里,35.386375,136.686712
牛牧,35.381062,136.670618
大月,35.399194,136.644220
唐栗,35.414016,136.639983
犀川,35.369886,136.673325
重里,35.417532,136.663217
十九条,35.393699,136.664542
十七条,35.405941,136.661357
十八条,35.400051,136.662469
祖父江,35.374306,136.685813
只越,35.399688,136.682674
田之上,35.409376,136.648160
中宮,35.388273,136.650612
七崎,35.423939,136.636971
生津,35.405911,136.687904
生津外宮東,35.406768,136.691336
生津外宮前,35.403193,136.690627
生津滝坪,35.410490,136.683018
生津天王東,35.406198,136.697120
生津天王,35.404559,136.694583
生津内宮,35.408932,136.685528
野田新田,35.386007,136.679908
野白新田,35.378954,136.679498
馬場,35.416531,136.680413
馬場北,35.415970,136.677836
馬場小城,35.409037,136.689919
馬場上光,35.413323,136.684779
馬場春雨,35.412439,136.688079
馬場前畑,35.414928,136.679610
東結,35.370569,136.666235
古橋,35.392265,136.654090
別府,35.394517,136.684624
宝江,35.373417,136.666380
穂積,35.382130,136.697341
本田,35.409664,136.674391
美江寺,35.412043,136.661499
宮田,35.405010,136.645136
森,35.419326,136.651206
横屋,35.382405,136.661551
呂久,35.393352,136.644720
