name,latitude,longitude
岐阜県,関市
相生,35.482293,136.920663
赤渕,35.479012,136.914313
上利,35.481117,136.920654
安桜台,35.491788,136.913732
朝倉,35.481058,136.919996
安桜山,35.489217,136.917958
旭ケ丘,35.484390,136.928637
吾妻,35.484239,136.921513
池尻,35.509606,136.885438
池田,35.496157,136.899188
居敷,35.481554,136.908211
伊勢,35.486169,136.921778
板取,35.724923,136.768530
市平賀,35.490181,136.948278
一本木,35.481540,136.913338
稲口,35.464082,136.915813
稲河,35.471366,136.930077
鋳物師屋,35.478752,136.940558
いろは,35.481293,136.918074
植野,35.499281,136.850567
梅ケ枝,35.479517,136.918345
円保通,35.488914,136.927310
大杉,35.452312,136.951951
大坪,35.495513,136.912827
小瀬,35.495141,136.883543
小瀬長池,35.494385,136.894378
小野,35.535402,136.943549
尾太,35.509108,136.927166
小屋名,35.482415,136.870084
貸上,35.495766,136.910060
鍛冶,35.484935,136.914417
春日,35.483114,136.919506
片倉,35.482470,136.910837
金屋,35.484883,136.915577
兼永,35.485099,136.919282
上大野,35.512842,136.982860
上白金,35.481719,136.858206
神野,35.532889,136.978741
上之保,35.644102,137.063817
河合,35.486207,136.912314
川間,35.489038,136.910120
観音前,35.481957,136.922267
観音山,35.487291,136.924014
北天神,35.479158,136.932503
北福野,35.489041,136.902533
吉田,35.486070,136.923996
貴船,35.485667,136.912033
希望ケ丘,35.470977,136.883735
桐ケ丘,35.459532,136.900810
桐谷台,35.459465,136.893859
倉知,35.463462,136.898404
黒屋,35.501308,136.928936
向陽台,35.461584,136.939244
寿,35.478145,136.923444
小迫間,35.460461,136.931313
小柳,35.485074,136.918547
西仙房,35.492056,136.904549
栄,35.487120,136.911319
坂下,35.487877,136.913915
桜ケ丘,35.474854,136.927459
桜木,35.481178,136.916557
桜台,35.468096,136.926572
桜本,35.488544,136.911838
山王通,35.487474,136.897933
四季ノ台,35.460750,136.893185
十軒,35.485197,136.913783
志津野,35.516381,136.952302
寺内,35.480935,136.915027
清水,35.477956,136.917840
下有知,35.510746,136.920413
下白金,35.473426,136.852028
下之保,35.559300,136.982536
十三塚,35.486658,136.894823
