name,latitude,longitude
岐阜県,多治見市
青木,35.3331,137.127225
赤坂,35.343023,137.104315
旭ケ丘,35.366452,137.111789
生田,35.336916,137.139411
池田,35.333001,137.099399
市之倉,35.302001,137.117933
市之倉町十,35.304201,137.115038
上野,35.337799,137.124787
大沢,35.345447,137.075653
大畑,35.323529,137.131966
大畑町赤松,35.311025,137.133036
大畑町大洞,35.314257,137.124638
大畑町西仲根,35.311827,137.126039
大原,35.35096,137.081071
大原町十,35.353546,137.085194
大針,35.371436,137.073744
大薮,35.377475,137.060419
奥川,35.330046,137.131049
小田,35.33896,137.128795
音羽,35.336762,137.118909
小名田,35.359894,137.129414
小名田町岩ケ根,35.370205,137.129796
小名田町絵図ケ峯,35.375848,137.143552
小名田町大石原,35.377964,137.131179
小名田町可児郷,35.367152,137.138814
小名田町草ノ頭,35.367277,137.128906
小名田町小滝,35.377497,137.121662
小名田町西ケ洞,35.367696,137.121031
小名田町西山,35.361825,137.128733
小名田町野田内,35.372676,137.138455
小名田町別山,35.373145,137.133295
小名田町東谷,35.367932,137.141342
小名田町悪洞,35.369481,137.138441
神楽,35.331332,137.132411
笠原,35.293425,137.160497
金岡,35.344309,137.11844
金山,35.332466,137.128993
窯,35.33105,137.130989
上,35.335407,137.134608
上山,35.33941,137.135909
北丘,35.362096,137.08836
北小木,35.351668,137.057923
喜多,35.335014,137.099513
希望ケ丘,35.37305,137.12011
京,35.326948,137.126971
小泉,35.349116,137.101621
虎渓山,35.347095,137.129282
虎渓,35.336351,137.126389
幸,35.355846,137.096084
坂上,35.331224,137.140873
栄,35.332199,137.121986
三の倉町大美山,35.310453,137.097957
三の倉町猪場,35.311812,137.089326
三の倉町中洞,35.308669,137.084298
三の倉町縄手,35.309441,137.081493
三の倉町西洞,35.311055,137.077001
下沢,35.328588,137.148512
十九田,35.341295,137.124125
昭栄,35.354205,137.081009
小路,35.333303,137.130725
昭和,35.330795,137.124437
新富,35.336672,137.133881
新,35.334186,137.128986
末広,35.332697,137.128205
住吉,35.343088,137.124341
諏訪町川西,35.296427,137.094402
諏訪町神田,35.303947,137.097393
諏訪町北ノ洞,35.304892,137.085553
諏訪町天ケ峯,35.305108,137.091094
諏訪町日影,35.296925,137.089174
諏訪町柳,35.298032,137.084285
精華,35.339358,137.122796
大正,35.337447,137.128866
大日,35.336377,137.124584
太平,35.33326,137.113812
高田,35.359297,137.137584
高田町十,35.35736,137.139969
高田町岩ケ峠,35.357386,137.143999
高田町岩曽根,35.369176,137.146538
高田町信濃柿,35.355364,137.149331
高田町白粉,35.365966,137.145201
高田町長湫,35.35917,137.150772
高田町東山,35.364416,137.143587
高根,35.358002,137.094668
宝,35.343706,137.10684
宝町十,35.344785,137.10657
滝呂,35.313557,137.143723
滝呂町十,35.313184,137.144739
田代,35.332893,137.120219
月見,35.329252,137.101352
廿原,35.318374,137.078163
東栄,35.35367,137.137981
陶元,35.330767,137.136656
常盤,35.333413,137.133466
豊岡,35.333525,137.12483
長瀬,35.355832,137.121355
中,35.335118,137.133083
錦,35.329474,137.124804
西坂,35.357631,137.11183
西山,35.350863,137.074148
根本,35.357821,137.080098
根本町十,35.356993,137.076706
白山,35.33656,137.122146
東,35.340866,137.147232
東山,35.363229,137.143215
光ケ丘,35.344464,137.111308
日ノ出,35.333439,137.131878
姫,35.3823,137.073153
平井,35.345615,137.103371
平野,35.32996,137.132519
広小路,35.331943,137.125573
富士見,35.322652,137.094105
平和,35.329145,137.122298
弁天,35.34024,137.127634
星ケ台,35.325368,137.138001
本,35.334022999999995,137.12098799999998
前畑,35.331187,137.1207
松坂,35.364926,137.089984
三笠,35.32835,137.123993
美坂,35.332887,137.143107
緑ケ丘,35.343869,137.135411
宮前,35.336238,137.128279
美山,35.337038,137.079778
御幸,35.330637,137.126354
明治,35.335835,137.131328
明和,35.350711,137.102666
元,35.327964,137.128085
山下,35.332055,137.133559
山吹,35.344519,137.140983
若松,35.340388,137.115461
脇之島,35.322719,137.122945
