name,latitude,longitude
岐阜県,山県市
相戸,35.612147,136.782580
青波,35.572680,136.765804
赤尾,35.523756,136.773447
伊佐美,35.532438,136.781913
岩佐,35.545597,136.794728
梅原,35.516627,136.755161
円原,35.658809,136.744665
大桑,35.545287,136.759962
大森,35.523411,136.734078
柿野,35.632443,136.788077
掛,35.551999,136.723741
片原,35.626613,136.737879
神崎,35.669321,136.710746
葛原,35.602413,136.696362
小倉,35.522010,136.723770
佐賀,35.494032,136.777321
笹賀,35.591886,136.754896
佐野,35.576400,136.781882
椎倉,35.531314,136.800501
上願,35.545958,136.730274
大門,35.537161,136.733303
高木,35.503628,136.775262
高富,35.496399,136.793672
田栗,35.598870,136.749547
谷合,35.585583,136.747042
椿,35.618230,136.757526
出戸,35.594211,136.780163
徳永,35.589481,136.767184
富永,35.564177,136.785673
長滝,35.566094,136.698627
中洞,35.560297,136.808753
西深瀬,35.511919,136.777660
東深瀬,35.515181,136.800466
日永,35.608362,136.768785
平井,35.561461,136.722521
藤倉,35.530242,136.737626
船越,35.582275,136.785163
洞田,35.532425,136.717630
松尾,35.542636,136.711243
