name,latitude,longitude
群馬県,安中市
秋間みのりが丘,36.358588,138.849600
安中,36.345741,138.907941
磯部,36.299923,138.847148
板鼻,36.343687,138.926688
岩井,36.325886,138.934567
大竹,36.312342,138.892721
大谷,36.312396,138.942349
小俣,36.336829,138.871022
上磯部,36.293630,138.841518
上後閑,36.358792,138.801787
上間仁田,36.295293,138.894893
郷原,36.309032,138.831895
高別当,36.326367,138.880355
鷺宮,36.299534,138.879260
下秋間,36.353155,138.888478
下磯部,36.313487,138.878366
下後閑,36.334574,138.852658
下間仁田,36.307090,138.905389
中秋間,36.357638,138.867215
中後閑,36.334548,138.827253
中宿,36.331918,138.916605
中野谷,36.285210,138.858810
西上秋間,36.368113,138.817850
西上磯部,36.294663,138.856627
野殿,36.314952,138.919886
原市,36.320019,138.857610
東上秋間,36.358966,138.859627
東上磯部,36.303727,138.870458
古屋,36.325640,138.869677
松井田町新井,36.336106,138.790191
松井田町入山,36.326230,138.701453
松井田町行田,36.304298,138.781220
松井田町小日向,36.321357,138.830439
松井田町上増田,36.375325,138.753906
松井田町北野牧,36.313886,138.676623
松井田町国衙,36.319885,138.816994
松井田町五料,36.331828,138.739767
松井田町坂本,36.376086,138.688238
松井田町下増田,36.335503,138.806724
松井田町高梨子,36.326702,138.800468
松井田町峠,36.369534,138.658429
松井田町新堀,36.314925,138.788226
松井田町二軒在家,36.301824,138.812598
松井田町西野牧,36.294810,138.677914
松井田町原,36.336014,138.717146
松井田町土塩,36.354922,138.756692
松井田町人見,36.294595,138.827562
松井田町松井田,36.314017,138.806043
松井田町八城,36.306485,138.795251
松井田町横川,36.340710,138.737956
嶺,36.318661,138.842614
簗瀬,36.308437,138.856784
