let,num
青,4
梨,2
子,4
葉,1
柳,1
朝,3
倉,4
日,5
が,5
丘,4
天,3
川,22
大,13
島,8
原,5
新,7
井,9
荒,3
口,3
牧,1
飯,1
土,1
池,1
端,3
石,5
関,3
泉,3
沢,10
市,4
之,6
今,1
岩,1
神,3
笂,1
江,2
木,4
田,21
胡,1
手,2
利,1
根,2
友,1
前,4
渡,1
荻,1
窪,3
女,2
屋,6
表,1
柏,1
粕,15
町,33
稲,2
里,2
渕,1
上,13
東,8
面,3
込,1
皆,3
戸,2
下,14
膳,1
月,1
中,4
西,4
一,1
深,1
津,1
室,4
勝,1
金,2
丸,5
沖,2
小,9
出,2
佐,2
鳥,4
長,2
磯,2
細,2
増,2
亀,2
曲,1
河,2
浜,1
の,1
森,1
北,1
代,3
清,1
野,5
公,1
相,1
紅,1
雲,1
幸,1
塚,1
後,2
閑,1
国,1
領,1
家,1
坂,1
明,1
五,1
駒,1
形,1
山,3
王,1
敷,1
阿,1
内,2
城,2
昭,1
和,2
橋,1
住,1
吉,2
総,7
社,7
植,1
桜,1
高,3
花,1
台,1
滝,1
千,1
堤,1
鶴,2
谷,1
光,2
路,1
荷,1
徳,1
取,1
富,15
羽,1
問,1
苗,1
ヶ,1
南,2
橘,1
堀,3
片,2
貝,2
善,2
輪,1
寺,2
二,1
宮,3
橳,1
気,1
鼻,1
毛,1
馬,1
場,2
樋,1
越,2
広,1
瀬,1
士,14
見,14
赤,1
漆,1
暮,1
米,1
時,1
郷,1
引,1
横,3
文,1
京,1
平,1
房,1
本,1
箱,2
三,3
俣,1
緑,1
嶺,1
地,1
夜,1
茂,1
元,1
力,1
龍,1
蔵,1
六,1
供,1
若,1
古,1
