name,latitude,longitude
群馬県,太田市
阿久津,36.248065,139.309247
朝日,36.274729,139.400849
新井,36.28577,139.370002
安養寺,36.258861,139.303962
飯田,36.289007,139.37958
飯塚,36.27848,139.385161
石橋,36.33068,139.340326
石原,36.297784,139.402211
泉,36.268918,139.313545
市場,36.334339,139.414993
出塚,36.258139,139.292563
岩瀬川,36.276727,139.358358
岩松,36.257908,139.335995
植木野,36.318443,139.411243
牛沢,36.258155,139.354245
内ケ島,36.285136,139.396177
大久保,36.343343,139.272362
大島,36.305685,139.357969
大舘,36.250029,139.30127
大原,36.354964,139.286935
大鷲,36.339686,139.352079
沖之郷,36.290057,139.434183
沖野,36.290666,139.323367
押切,36.248987,139.340791
尾島,36.260051,139.321561
粕川,36.265733,139.296815
金山,36.309297,139.373522
上強戸,36.337553,139.359444
上小林,36.31652,139.404223
上田島,36.282486,139.319754
亀岡,36.25544,139.316783
北金井,36.350068,139.35249
清原,36.34511,139.3863
熊野,36.305409,139.381321
強戸,36.32965,139.35833
小角田,36.278713,139.281586
小舞木,36.284013,139.388092
下小林,36.291194,139.403449
下田島,36.264859,139.323961
下浜田,36.276617,139.364086
城西,36.310655,139.3376
庄屋,36.279656,139.370997
新道,36.300161,139.342041
末広,36.256886,139.38122
菅塩,36.347966,139.339863
すずかけ,36.254182,139.323512
スバル,36.298031,139.382947
世良田,36.266755,139.281013
太子,36.255624,139.325726
台之郷,36.307674,139.407371
高瀬,36.326293,139.423091
高林北,36.26566,139.367254
高林寿,36.263674,139.374459
高林西,36.256278,139.36443
高林東,36.257521,139.375154
高林南,36.253967,139.368287
宝,36.28975,139.331777
只上,36.337533,139.396881
鶴生田,36.319281,139.358142
寺井,36.324102,139.335117
天良,36.332313,139.334072
徳川,36.250257,139.284056
富沢,36.264023,139.357251
富若,36.32408,139.396421
鳥山上,36.324478,139.344722
鳥山下,36.312249,139.35261
鳥山,36.313477,139.356544
鳥山中,36.314915,139.346382
長手,36.315187,139.367465
中根,36.272988,139.322875
成塚,36.33628,139.341713
新島,36.291976,139.386837
新野,36.307925,139.343542
西新,36.272302,139.338275
西長岡,36.353774,139.332104
西野谷,36.282488,139.329351
西本,36.294067,139.363974
西矢島,36.271291,139.374285
新田赤堀,36.292091,139.297199
新田市,36.327186,139.299518
新田市野井,36.315394,139.301952
新田市野倉,36.335233,139.309043
新田大,36.322773,139.281925
新田大根,36.309296,139.282321
新田金井,36.3083,139.293023
新田嘉祢,36.32053,139.288015
新田上江田,36.294317,139.285709
新田上田中,36.304638,139.274762
新田上中,36.322956,139.271004
新田木崎,36.281782,139.306734
新田小金井,36.31292,139.323556
新田小金,36.334654,139.322764
新田権右衛門,36.33211,139.263878
新田下江田,36.268944,139.298258
新田下田中,36.288688,139.273749
新田反町,36.296492,139.308299
新田高尾,36.28508,139.283059
新田多村新田,36.338899,139.295844
新田溜池,36.32355,139.275431
新田天良,36.335008,139.328232
新田中江田,36.278646,139.292231
新田萩,36.3335,139.268973
新田花香塚,36.297566,139.261271
新田早川,36.294379,139.265567
新田瑞木,36.310083,139.309427
新田村田,36.310233,139.315655
韮川,36.312836,139.403909
八幡,36.300189,139.365434
浜,36.290335,139.367887
原宿,36.353766,139.382623
東今泉,36.326806,139.384493
東金井,36.317122,139.38778
東新,36.327053,139.408679
東長岡,36.302093,139.393263
東別所,36.268754,139.393946
東本,36.29793,139.378217
東矢島,36.268793,139.382873
備前島,36.256511,139.344016
福沢,36.269152,139.358545
藤阿久,36.290745,139.357671
藤久良,36.291457,139.35167
二ツ小屋,36.238217,139.313991
古戸,36.246473,139.376972
別所,36.298069,139.330437
細谷,36.275212,139.350268
堀口,36.249853,139.324448
本,36.297893,139.372861
前小屋,36.245216,139.327993
前島,36.246939,139.316742
丸山,36.341724,139.381215
緑,36.331123,139.372526
南ヶ丘,36.247823,139.327165
南矢島,36.263562,139.379932
武蔵島,36.244057,139.311084
茂木,36.297381,139.417819
八重笠,36.27219,139.429581
安良岡,36.308733,139.39709
矢田堀,36.33453,139.380756
矢場新,36.311802,139.416447
矢場,36.302557,139.42382
藪塚,36.361435,139.3106
山之神,36.346225,139.310184
由良,36.288271,139.343687
吉沢,36.350938,139.368443
米沢,36.263581,139.342803
寄合,36.3427,139.320576
龍舞,36.282671,139.416761
六千石,36.334409,139.285838
脇屋,36.308871,139.33087
