name,latitude,longitude
群馬県,甘楽郡下仁田町
青倉,36.172806,138.776417
大桑原,36.200516,138.767375
風口,36.207387,138.761346
上小坂,36.272241,138.734615
川井,36.208921,138.776946
栗山,36.176852,138.808151
下小坂,36.220551,138.769466
下郷,36.201958,138.745131
下仁田,36.215574,138.785885
中小坂,36.238856,138.763131
西野牧,36.272427,138.660312
白山,36.219091,138.793460
東野牧,36.232452,138.730150
平原,36.151218,138.780608
馬山,36.210705,138.815684
南野牧,36.226564,138.657442
宮室,36.194307,138.758959
本宿,36.248567,138.718133
吉崎,36.198392,138.801503
