let,num
相,1
生,2
赤,1
坂,2
阿,1
久,2
津,1
旭,1
足,1
門,1
東,6
あ,1
ら,1
飯,2
玉,1
塚,4
石,3
原,7
井,36
出,1
稲,2
荷,2
野,7
岩,6
押,1
鼻,2
請,1
地,3
後,2
疋,1
間,3
歌,1
川,7
江,1
木,5
大,11
沢,9
橋,1
八,6
沖,1
貝,2
鍛,1
冶,1
片,2
岡,5
嘉,1
多,4
金,3
淵,1
古,1
上,14
島,10
類,5
小,9
鳥,2
塙,2
里,5
見,5
佐,3
滝,2
豊,3
中,18
居,3
並,2
榎,2
室,3
田,20
和,6
菊,1
北,5
新,9
波,2
保,5
通,2
双,2
葉,2
部,1
京,1
目,1
行,1
力,1
九,1
蔵,1
倉,7
賀,2
渕,5
町,50
氷,1
浦,1
権,1
三,3
ノ,1
水,2
沼,1
栗,1
崎,4
剣,1
神,4
戸,1
栄,1
窪,1
鞘,1
閑,1
柴,1
芝,3
下,17
斎,1
之,2
城,2
横,3
十,1
文,1
字,1
宿,2
手,2
正,1
観,1
寺,3
昭,1
白,3
銀,1
山,6
紺,3
屋,9
真,1
末,1
広,1
菅,1
谷,2
砂,2
住,1
吉,33
堰,1
代,2
台,4
高,8
関,1
浜,3
松,3
竜,1
筑,1
縄,1
椿,1
鶴,1
尾,2
天,1
常,1
盤,1
問,1
泉,1
成,1
西,4
国,2
分,2
日,2
光,1
根,3
乗,1
附,1
萩,1
尻,1
榛,2
名,4
湖,1
引,1
聖,1
檜,1
物,1
冷,1
福,1
藤,1
渡,1
本,3
郷,16
箕,14
柏,1
敷,1
平,3
善,1
富,1
明,2
矢,4
ツ,3
子,1
緑,1
南,4
宮,3
元,3
棟,1
千,1
柳,1
幡,2
弓,1
池,1
串,1
奥,2
黒,1
熊,1
暮,1
棚,1
口,1
塩,2
長,2
比,1
良,1
胡,1
陽,1
深,1
馬,1
庭,1
四,1
寄,1
合,1
羅,1
漢,1
楽,1
連,1
雀,1
若,2
我,1
峰,1
綿,1
貫,1
