name,latitude,longitude
広島県,広島市安佐南区
相田,34.470808,132.456472
相田,34.463377,132.446743
大塚東,34.433727,132.403620
大塚東,34.436094,132.422259
大,34.460539,132.459987
大町東,34.455449,132.467445
上安,34.475488,132.449852
上安,34.489442,132.449437
川内,34.458026,132.484453
祇園,34.436885,132.462091
祇園,34.450848,132.453219
高取北,34.484774,132.433013
高取南,34.467456,132.437523
高取南,34.459645,132.435032
長楽寺,34.474887,132.430724
長楽寺,34.482775,132.425236
伴北,34.483482,132.414711
伴中央,34.462710,132.406643
伴西,34.461334,132.357343
伴東,34.452845,132.422945
伴南,34.449435,132.384031
中須,34.459184,132.472367
中筋,34.451008,132.475070
長束,34.428300,132.463553
長束,34.428087,132.439989
西原,34.434738,132.463460
沼田町大字阿戸,34.495542,132.363522
沼田町大字伴,34.468866,132.400587
沼田町大字吉山,34.462080,132.334396
東野,34.446170,132.485327
東原,34.441787,132.478381
毘沙門台,34.471181,132.465606
古市,34.453217,132.473255
緑井,34.464152,132.475875
緑井,34.479093,132.476864
八木,34.476555,132.494395
八木,34.498400,132.495105
安東,34.472395,132.459362
山本,34.436412,132.453968
山本新,34.440443,132.437748
山本,34.440734,132.429592
大塚西,34.438496,132.389009
