name,latitude,longitude
広島県,廿日市市
浅原,34.338533,132.133677
阿品,34.328688,132.317510
阿品台,34.331343,132.315681
阿品台西,34.325584,132.303949
阿品台山の手,34.322595,132.301446
飯山,34.414870,132.099674
梅原,34.283946,132.275132
駅前,34.357639,132.336232
大野,34.302474,132.201304
大野中央,34.288047,132.275476
大野原,34.286583,132.270235
大東,34.359135,132.341072
沖塩屋,34.284207,132.266819
可愛,34.353306,132.332475
上の浜,34.292005,132.281480
上平良,34.367464,132.315007
河津原,34.368797,132.208309
串戸,34.345655,132.329068
玖島,34.403534,132.237901
栗栖,34.384679,132.122817
佐方,34.370067,132.328247
佐方本,34.360716,132.343009
桜尾,34.354573,132.341319
桜尾本,34.357390,132.342296
山陽園,34.363052,132.341467
塩屋,34.285296,132.264803
四季が丘,34.343145,132.294318
四季が丘十,34.343964,132.297640
四季が丘上,34.347501,132.286374
地御前,34.332174,132.301332
下の浜,34.290639,132.278098
下平良,34.362835,132.325424
城内,34.359875,132.338797
新宮,34.351412,132.330874
須賀,34.354117,132.333942
住吉,34.352701,132.338872
対厳山,34.312920,132.294752
津田,34.370487,132.175845
天神,34.356313,132.338576
峠,34.353172,132.236154
友田,34.352216,132.211916
永原,34.374780,132.238353
中道,34.375129,132.089202
廿日市,34.354876,132.335166
八坂,34.269595,132.246435
林が原,34.278412,132.263054
原,34.390712,132.309866
深江,34.306429,132.296212
福面,34.317582,132.296192
平良,34.357584,132.327544
平良山手,34.358156,132.333639
本,34.351013,132.334963
前空,34.300157,132.286337
丸石,34.276498,132.262712
峰高,34.352459,132.318649
宮内,34.352864,132.273663
宮内工業団地,34.335621,132.298013
宮島口,34.312816,132.301368
宮島口上,34.316059,132.299500
宮島口東,34.318591,132.305619
宮島,34.272605,132.309988
宮園,34.354905,132.304863
宮園上,34.355710,132.299752
宮浜温泉,34.273236,132.255858
虫所山,34.421171,132.163186
木材港南,34.341524,132.341163
物見東,34.298490,132.285371
陽光台,34.353421,132.313342
吉和,34.505102,132.111692
六本松,34.343409,132.308400
