name,latitude,longitude
広島県,東広島市
安芸津町大田,34.322132,132.765619
安芸津町風早,34.320045,132.793349
安芸津町木谷,34.325347,132.839331
安芸津町小松原,34.290461,132.779025
安芸津町三津,34.343687,132.800733
鏡山,34.399164,132.712403
黒瀬学園台,34.313551,132.687593
黒瀬春日野,34.331108,132.656475
黒瀬切田が丘,34.323635,132.653608
黒瀬桜が丘,34.331070,132.651329
黒瀬町市飯田,34.307003,132.659827
黒瀬町大多田,34.348396,132.667732
黒瀬町小多田,34.347312,132.714486
黒瀬町兼沢,34.316691,132.649663
黒瀬町兼広,34.333484,132.650270
黒瀬町上保田,34.311548,132.669110
黒瀬町川角,34.314129,132.681437
黒瀬町切田,34.322047,132.657216
黒瀬町国近,34.339356,132.734999
黒瀬町菅田,34.312500,132.674835
黒瀬町津江,34.334253,132.629657
黒瀬町楢原,34.326049,132.667020
黒瀬町乃美尾,34.331835,132.693214
黒瀬町丸山,34.332736,132.676378
黒瀬町南方,34.329045,132.702819
黒瀬町宗近柳国,34.339781,132.713010
黒瀬楢原西,34.331842,132.663917
黒瀬松ケ丘,34.334833,132.658374
河内町宇山,34.520925,132.827706
河内町小田,34.504403,132.872904
河内町上河内,34.481759,132.862791
河内町河戸,34.493570,132.837104
河内町下河内,34.472690,132.903890
河内町戸野,34.504151,132.808654
河内町中河内,34.475599,132.882010
河内町入野,34.442370,132.878122
河内臨空団地,34.447636,132.867147
西条朝日,34.427037,132.746118
西条大坪,34.422061,132.747158
西条岡,34.428555,132.741119
西条上市,34.427825,132.748859
西条御条,34.422651,132.745178
西条栄,34.427709,132.742937
西条下見,34.409116,132.716182
西条昭和,34.424240,132.741965
西条末広,34.431479,132.749708
西条中央,34.420854,132.737393
西条町馬木,34.362651,132.724798
西条町大沢,34.376958,132.731625
西条町上三永,34.396444,132.797279
西条町郷曽,34.369996,132.691186
西条町西条,34.438718,132.744101
西条町下見,34.408990,132.706533
西条町下三永,34.392245,132.765958
西条町助実,34.415847,132.770949
西条町土与丸,34.424022,132.778825
西条町福本,34.358791,132.762791
西条町御薗宇,34.408063,132.755798
西条町森近,34.361171,132.743794
西条町吉行,34.445141,132.748966
西条土与丸,34.427445,132.750726
西条西本,34.428809,132.737005
西条東北,34.432706,132.737282
西条本,34.430494,132.745706
西条吉行東,34.433310,132.760594
志和町内,34.498882,132.706693
志和町奥屋,34.459637,132.615404
志和町冠,34.453520,132.642918
志和町七条椛坂,34.461168,132.662814
志和町志和東,34.482263,132.685881
志和町志和堀,34.513519,132.674235
志和町別府,34.479983,132.624562
志和流通,34.467160,132.654358
高屋うめの辺,34.460178,132.782240
高屋台,34.466563,132.832770
高屋高美が丘,34.457421,132.788698
高屋町稲木,34.456182,132.759295
高屋町大畠,34.446443,132.775654
高屋町杵原,34.460142,132.775217
高屋町郷,34.436301,132.794944
高屋町小谷,34.434522,132.838525
高屋町貞重,34.477115,132.814715
高屋町重兼,34.432579,132.816658
高屋町白市,34.455094,132.824215
高屋町造賀,34.487429,132.763147
高屋町高屋東,34.462555,132.820468
高屋町高屋堀,34.469969,132.799976
高屋町中島,34.447028,132.789281
高屋町桧山,34.439188,132.764357
高屋町溝口,34.430128,132.805690
高屋町宮領,34.435963,132.781153
田口研究団地,34.387389,132.695007
豊栄町安宿,34.565535,132.856725
豊栄町飯田,34.608319,132.827330
豊栄町鍛冶屋,34.564860,132.826875
豊栄町清武,34.597764,132.810724
豊栄町能良,34.537192,132.830049
豊栄町乃美,34.560116,132.810013
豊栄町別府,34.575888,132.795515
豊栄町吉原,34.594534,132.867677
西大沢,34.374654,132.726691
入野中山台,34.460706,132.857742
八本松飯田,34.448912,132.708515
八本松町飯田,34.439552,132.679593
八本松町篠,34.472739,132.727039
八本松町正力,34.463235,132.719842
八本松町原,34.417467,132.683606
八本松町宗吉,34.453875,132.681748
八本松町米満,34.451781,132.719673
八本松東,34.443517,132.716863
福富町上竹仁,34.529455,132.714514
福富町上戸野,34.511174,132.772945
福富町久芳,34.550281,132.781190
福富町下竹仁,34.532496,132.748433
三永,34.389371,132.761422
西条町田口,34.389345,132.719283
八本松町吉川,34.385688,132.663212
吉川工業団地,34.386060,132.682944
寺家産業団地,34.434496,132.708333
西条町寺家,34.434825,132.728246
寺家駅前,34.439100,132.723449
