name,latitude,longitude
北海道,札幌市厚別区
青葉,43.022577,141.482606
青葉町十,43.036034,141.481283
厚別北一条,43.050440,141.474400
厚別北二条,43.053254,141.472591
厚別北三条,43.055390,141.471101
厚別北四条,43.057101,141.469941
厚別北五条,43.062528,141.473074
厚別北六条,43.064429,141.471123
厚別中央一条,43.030772,141.457855
厚別中央二条,43.031357,141.455489
厚別中央三条,43.032939,141.454854
厚別中央四条,43.039758,141.459689
厚別中央五条,43.041830,141.458033
厚別町上野幌,43.012954,141.481702
厚別町小野幌,43.052014,141.494755
厚別町下野幌,43.042776,141.499153
厚別町山本,43.074941,141.465519
厚別西一条,43.044424,141.457161
厚別西二条,43.046218,141.456559
厚別西三条,43.047942,141.456911
厚別西四条,43.049754,141.453882
厚別西五条,43.053168,141.452475
厚別東一条,43.039757,141.482954
厚別東二条,43.041601,141.480660
厚別東三条,43.042868,141.478523
厚別東四条,43.044222,141.477422
厚別東五条,43.046307,141.475405
厚別南,43.029734,141.464539
大谷地東,43.030280,141.449883
上野幌一条,43.022721,141.465477
上野幌二条,43.020072,141.466616
上野幌三条,43.019827,141.462448
下野幌テクノパーク,43.031839,141.501878
もみじ台西,43.037725,141.484292
もみじ台南,43.025019,141.488985
