name,latitude,longitude
北海道,伊達市
旭,42.465988,140.867344
網代,42.467927,140.863417
乾,42.490579,140.906285
有珠,42.519433,140.788650
梅本,42.472823,140.871703
大平,42.518166,140.845823
大滝区愛地,42.777519,141.139798
大滝区上野,42.639069,141.099418
大滝区北湯沢温泉,42.638204,140.995440
大滝区清原,42.712206,141.071030
大滝区三階滝,42.688044,141.145040
大滝区昭園,42.597316,141.063937
大滝区清陵,42.709826,141.102664
大滝区大成,42.644914,141.059558
大滝区豊里,42.693995,141.046806
大滝区本郷,42.675646,141.061622
大滝区本,42.672534,141.080818
大滝区円山,42.620096,141.080346
大滝区宮城,42.725721,141.051485
大滝区優徳,42.666325,141.000223
大,42.472120,140.861264
鹿島,42.471054,140.864831
上館山,42.511583,140.872038
上長和,42.509300,140.853504
北有珠,42.525300,140.809131
北黄金,42.418434,140.931730
北稀府,42.454280,140.913705
喜門別,42.509684,140.927734
清住,42.471484,140.898815
志門気,42.529905,140.921068
末永,42.482429,140.871899
竹原,42.481050,140.879895
館山下,42.481098,140.845013
館山,42.483375,140.859544
中稀府,42.444116,140.913060
長和,42.488053,140.830191
錦,42.469704,140.860318
西関内,42.507888,140.878950
西浜,42.468780,140.853241
萩原,42.451975,140.892850
東有珠,42.510114,140.812398
東関内,42.502673,140.900586
東浜,42.463944,140.867307
舟岡,42.460295,140.876357
幌美内,42.470522,140.921925
松ヶ枝,42.477111,140.889472
南有珠,42.500855,140.802887
南黄金,42.404371,140.953942
南稀府,42.436340,140.922307
向有珠,42.510916,140.786731
元,42.468702,140.869681
山下,42.474290,140.853547
弄月,42.460720,140.892498
若生,42.502075,140.827948
