let,num
一,2
条,8
二,1
三,1
四,1
五,1
六,1
七,1
八,2
あ,2
け,1
ぼ,1
の,1
さ,1
ひ,2
が,1
丘,3
朝,1
日,1
い,1
ず,1
み,4
野,20
番,1
江,7
別,7
太,1
王,1
子,1
大,19
麻,18
泉,1
扇,1
北,1
栄,3
桜,1
木,2
沢,1
新,2
園,2
高,2
中,4
西,3
晴,2
美,4
東,11
か,1
り,1
南,4
樹,1
宮,1
元,5
川,1
通,1
角,1
山,1
上,4
工,1
幸,2
篠,1
津,1
台,6
砂,1
央,2
対,1
雁,1
光,1
豊,4
幌,19
花,1
は,1
ん,1
ぐ,1
咲,1
島,1
錦,1
寿,1
末,1
広,1
住,1
吉,1
屯,1
田,1
松,1
並,1
代,1
々,1
若,2
葉,1
萩,1
ケ,3
岡,1
本,2
文,4
京,4
緑,3
牧,1
場,1
町,1
原,1
見,1
向,1
萌,2
え,2
ぎ,2
幡,1
弥,1
生,1
ゆ,2
め,2
草,1
