name,latitude,longitude
北海道,北見市
相内,43.797478,143.756101
青葉,43.814484,143.897846
曙,43.831306,143.908972
朝日,43.811882,143.910946
泉,43.805451,143.899489
大通東,43.805796,143.897329
大,43.814605,143.904194
卸,43.804932,143.836929
開成,43.732538,143.884292
花月,43.817062,143.878995
柏木,43.830759,143.807254
桂,43.807388,143.861304
上ところ,43.749542,143.82631
上仁頃,43.863153,143.839818
川沿,43.786974,143.882836
川東,43.799369,143.944289
北十条東,43.810065,143.891209
北十一条東,43.810212,143.890735
北一条東,43.806195,143.8963
北二条東,43.80653,143.895636
北三条東,43.806862,143.894975
北四条東,43.807199,143.894312
北五条東,43.80755,143.893622
北六条東,43.807888,143.892961
北七条東,43.808154,143.892183
北八条東,43.808561,143.891636
北九条東,43.809019,143.891036
北上,43.766238,143.860452
清見,43.816544,143.886047
小泉,43.841339,143.904319
高栄西,43.810303,143.857715
高栄東,43.810802,143.872829
公園,43.819738,143.906932
光西,43.794691,143.867929
広明,43.781318,143.876397
光葉,43.787836,143.897154
寿,43.810466,143.881487
幸,43.80822,143.889348
栄,43.80015,143.875466
桜,43.808196,143.901855
三楽,43.81539,143.892426
春光,43.822222,143.91522
昭和,43.845762,143.875932
新生,43.782646,143.890177
末広,43.787666,143.870314
住吉,43.814325,143.717272
清月,43.801651,143.907012
大正,43.832622,143.844272
高砂,43.81607,143.900662
田端,43.815817,143.915315
端野町一区,43.886503,143.966102
端野町二区,43.874477,143.934507
端野町三区,43.850463,143.921302
端野町川向,43.821232,143.968904
端野町協和,43.850818,143.983952
端野町端野,43.849233,143.948301
端野町忠志,43.924822,143.977349
端野町豊実,43.913063,143.92748
端野町緋牛内,43.899517,144.019008
端野町北登,43.942563,143.867585
中央,43.810185,143.889206
中央三輪,43.800882,143.855235
常川,43.715926,143.828217
東陵,43.824225,143.896681
常盤,43.796055,143.892675
富里,43.87076,143.750018
豊田,43.791415,143.728867
とん田西,43.794217,143.874945
とん田東,43.794193,143.881848
中ノ島,43.797446,143.894917
並木,43.828188,143.915118
仁頃,43.895527,143.905766
西相内,43.794469,143.687183
錦,43.786499,143.877001
西富,43.800029,143.869404
西三輪,43.798743,143.839516
柏陽,43.824071,143.911113
花園,43.787147,143.889733
番場,43.813505,143.888801
東相内,43.802627,143.807764
東三輪,43.801148,143.861541
ひかり野,43.827155,143.92585
広郷,43.762054,143.821753
双葉,43.80717,143.853773
文京,43.827198,143.904979
豊地,43.789444,143.826825
北央,43.781195,143.883488
北進,43.807713,143.873242
北斗,43.812584,143.886614
北陽,43.929627,143.819171
北光,43.778759,143.865508
本沢,43.842021,143.733713
美里,43.898345,143.799217
三住,43.812079,143.891103
美園,43.801576,143.776561
緑ケ丘,43.820549,143.871606
緑,43.806458,143.847277
南丘,43.75894,143.887478
南仲,43.801232,143.895436
南,43.798001,143.901836
美山町東,43.825563,143.88279
美芳,43.802769,143.878978
無加川,43.787918,143.861754
本,43.800329,143.892566
山下,43.80538,143.888697
大和,43.877255,143.886722
留辺蘂町旭一区,43.771158,143.603764
留辺蘂町旭三区,43.787836,143.598178
留辺蘂町旭公園,43.773018,143.613903
留辺蘂町旭中央,43.778033,143.626379
留辺蘂町旭東,43.779986,143.632643
留辺蘂町東,43.786384,143.622755
留辺蘂町泉,43.79708,143.6509
留辺蘂町大富,43.768453,143.579481
留辺蘂町温根湯温泉,43.755009,143.509199
留辺蘂町金華,43.811113,143.538144
留辺蘂町上,43.787612,143.610266
留辺蘂町川北,43.773126,143.44152
留辺蘂町厚和,43.704338,143.356704
留辺蘂町栄,43.784058,143.61111
留辺蘂町昭栄,43.756493,143.541421
留辺蘂町滝の湯,43.75899,143.393074
留辺蘂町富岡,43.765593,143.628394
留辺蘂町豊金,43.817085,143.617897
留辺蘂町仲,43.787333,143.619704
留辺蘂町花丘,43.777618,143.509441
留辺蘂町花園,43.924252,143.616773
留辺蘂町平里,43.727141,143.48293
留辺蘂町富士見,43.652425,143.225295
留辺蘂町松山,43.727815,143.510008
留辺蘂町丸山,43.855077,143.634239
留辺蘂町瑞穂,43.87222,143.684834
留辺蘂町宮下,43.789845,143.624214
留辺蘂町元,43.786102,143.627806
留辺蘂町大和,43.722521,143.4459
若葉,43.808673,143.853518
若松,43.766455,143.918226
常呂町字吉野,43.968219,143.844181
常呂町字登,43.945418,143.914809
常呂町字富丘,44.068253,143.986517
常呂町字豊川,44.063343,144.036159
常呂町字栄浦,44.130535,143.981591
常呂町字東浜,44.11837,144.094261
常呂町字常呂,44.120422,144.073368
常呂町字共立,44.093795,144.044459
常呂町字岐阜,44.11014,144.006305
常呂町字土佐,44.112226,144.05281
常呂町字日吉,43.985162,143.944375
常呂町字福山,44.019327,144.007628
