let,num
秋,1
勇,2
留,2
島,8
明,2
郷,1
曙,1
朝,1
日,1
厚,3
床,3
有,1
磯,1
梅,2
ケ,2
枝,2
落,1
石,1
東,4
温,2
根,2
沼,1
元,1
海,2
岸,1
桂,1
木,1
川,1
口,1
北,2
浜,3
清,1
隆,1
光,2
洋,1
和,4
琴,1
平,2
湖,1
南,1
駒,1
場,1
珸,1
瑤,1
瑁,1
昆,1
布,2
盛,1
幸,1
栄,2
定,1
基,1
汐,1
見,2
敷,1
志,1
発,1
春,1
国,1
岱,1
昭,1
水,1
晶,1
大,1
正,1
宝,2
多,1
楽,1
千,1
長,1
節,1
月,2
岡,1
常,1
盤,1
友,1
知,1
豊,1
里,1
鳴,1
西,3
田,3
納,1
沙,1
初,1
牛,1
花,3
咲,2
港,1
園,1
歯,1
舞,1
松,3
双,1
沖,1
内,2
別,1
当,1
賀,1
弁,2
天,2
林,1
斗,1
穂,1
香,1
幌,1
茂,1
尻,1
本,2
牧,1
の,1
岬,1
緑,1
治,1
弥,2
生,1
槍,1
昔,1
酪,1
陽,1
