let,num
青,2
葉,2
明,5
野,4
新,6
元,3
あ,1
け,1
ぼ,1
の,5
字,12
糸,2
井,2
柏,2
原,2
静,1
川,4
高,2
丘,1
樽,1
前,2
錦,3
岡,1
旭,1
弁,1
天,1
丸,1
山,3
美,3
沢,2
勇,3
払,1
有,2
泉,1
一,1
本,3
松,2
入,1
船,2
珠,1
永,1
福,1
王,1
子,1
大,2
音,1
羽,1
表,1
木,3
春,1
日,4
沿,1
場,1
啓,1
北,5
小,1
光,3
洋,1
寿,1
幸,2
栄,2
桜,2
坂,1
三,1
汐,1
見,3
清,1
水,1
し,1
ら,1
か,1
ば,1
白,1
金,1
開,2
富,1
中,3
末,1
広,1
澄,1
住,1
吉,2
雲,1
成,1
砂,2
拓,2
西,2
東,2
と,1
き,1
わ,1
豊,1
沼,2
ノ,2
端,2
央,1
ぞ,1
み,1
花,1
園,2
浜,1
は,1
ま,1
な,1
す,1
晴,1
海,1
出,1
双,1
真,1
風,1
緑,1
港,1
宮,2
森,1
徳,1
も,1
え,1
ぎ,1
矢,1
代,1
柳,1
手,1
弥,1
生,1
若,1
草,1
ウ,2
ト,2
ナ,2
イ,2
十,1
南,1
植,1
苗,1
星,1
