name,latitude,longitude
北海道,札幌市豊平区
旭,43.049506,141.365176
水車,43.052085,141.364392
月寒中央通,43.026253,141.399173
月寒中央通十,43.02418,141.400763
月寒西一条,43.02542,141.397188
月寒西一条十,43.022903,141.398626
月寒西二条,43.024633,141.393592
月寒西三条,43.025017,141.391104
月寒西四条,43.024617,141.388309
月寒西五条,43.024826,141.386252
月寒東一条,43.027481,141.400881
月寒東一条十,43.025795,141.402756
月寒東一条二,43.011267,141.422723
月寒東二条,43.028676,141.404154
月寒東二条十,43.027019,141.404809
月寒東二条二,43.013426,141.425421
月寒東三条,43.029228,141.407124
月寒東三条十,43.026756,141.414556
月寒東四条,43.031442,141.411015
月寒東四条十,43.030311,141.412685
月寒東五条,43.033675,141.413105
月寒東五条十,43.032845,141.414033
豊平一条,43.049412,141.378623
豊平一条十,43.048544,141.380825
豊平二条,43.048421,141.379338
豊平二条十,43.04795,141.380142
豊平三条,43.047835,141.37846
豊平三条十,43.046984,141.379721
豊平四条,43.046729,141.377123
豊平四条十,43.046118,141.378027
豊平五条,43.046156,141.375326
豊平五条十,43.043935,141.376038
豊平六条,43.045055,141.3744
豊平七条,43.044258,141.37336
豊平七条十,43.041648,141.377596
豊平八条,43.043438,141.371974
豊平八条十,43.043196,141.373453
豊平九条,43.042855,141.370658
中の島,43.026451,141.354002
中の島一条,43.021604,141.35508
中の島一条十,43.019841,141.35488
中の島二条,43.021755,141.357966
中の島二条十,43.020661,141.357428
西岡,42.959718,141.380158
西岡一条,43.005679,141.376726
西岡一条十,43.003395,141.375903
西岡二条,43.003921,141.379511
西岡二条十,43.001091,141.377947
西岡三条,43.002333,141.381959
西岡三条十,42.999459,141.380188
西岡四条,43.000493,141.384798
西岡四条十,42.998663,141.382243
西岡五条十,42.997339,141.385051
西岡五条,43.02164,141.396425
羊ケ丘,42.993264,141.400331
平岸一条,43.031251,141.364024
平岸一条十,43.029452,141.36408
平岸一条二,43.019665,141.35904
平岸一条二十,43.01729,141.357533
平岸二条,43.030419,141.367076
平岸二条十,43.029325,141.366847
平岸三条,43.030424,141.370374
平岸三条十,43.029428,141.370182
平岸四条,43.030513,141.374359
平岸四条十,43.029223,141.374093
平岸五条,43.030623,141.378087
平岸五条十,43.029115,141.377248
平岸六条,43.030965,141.38046
平岸六条十,43.029459,141.379662
平岸七条十,43.027595,141.382057
平岸八条十,43.027449,141.384314
福住一条,43.021452,141.401407
福住二条,43.003286,141.389379
福住二条十,43.001495,141.388241
福住三条,43.001886,141.391219
福住三条十,43.000265,141.389478
美園十条,43.036732,141.380034
美園十一条,43.035577,141.379819
美園十二条,43.033203,141.380648
美園一条,43.046295,141.38509
美園二条,43.045299,141.383664
美園三条,43.044411,141.382593
美園四条,43.043519,141.381564
美園五条,43.042597,141.380748
美園六条,43.041912,141.379955
美園七条,43.041234,141.379158
美園八条,43.04028,141.377667
美園九条,43.039112,141.376679
