name,latitude,longitude
北海道,夕張郡由仁町
岩内,42.988172,141.829618
馬追,43.009464,141.774482
川端,42.915381,141.895680
熊本,42.970819,141.799384
光栄,42.992650,141.787023
新光,43.003024,141.794552
中央,43.009967,141.783513
東栄,43.012251,141.790831
東光,43.003285,141.783572
中三川,42.940293,141.835330
西三川,42.946363,141.783881
東三川,42.949834,141.853198
伏見,42.994228,141.773005
古川,43.016065,141.801566
古山,42.969830,141.780121
北栄,43.020126,141.785092
本,43.015349,141.782418
三川旭,42.949813,141.800687
三川泉,42.943132,141.807379
三川錦,42.943043,141.802264
三川緑,42.949051,141.804857
本三川,42.943698,141.815268
山形,43.032069,141.761564
山桝,42.982642,141.814152
