name,latitude,longitude
兵庫県,朝来市
和田山町東谷,35.340273,134.848992
生野町栃原,35.169243,134.752997
生野町黒川,35.223183,134.880930
生野町上生野,35.188695,134.849400
生野町小野,35.170506,134.828503
生野町奥銀谷,35.171204,134.815039
生野町新,35.168904,134.811512
生野町口銀谷,35.164824,134.788959
生野町円山,35.184468,134.787563
多々良木,35.235340,134.840816
山内,35.261454,134.862656
佐嚢,35.250468,134.736291
田路,35.213699,134.752846
山東町与布土,35.271643,134.887952
和田山町玉置,35.333856,134.864066
和田山町桑原,35.330968,134.876142
和田山町枚田岡,35.327241,134.861622
山東町大垣,35.320326,134.877379
山東町小谷,35.316075,134.874667
山東町楽音寺,35.312048,134.874106
山東町大月,35.304978,134.873749
山東町喜多垣,35.293927,134.872180
山東町柊木,35.296919,134.877940
八代,35.242183,134.787010
上八代,35.264436,134.783990
立脇,35.253550,134.797822
石田,35.256131,134.810845
納座,35.255996,134.838433
川上,35.259191,134.852356
山東町金浦,35.327700,134.918605
和田山町宮,35.346339,134.902919
和田山町久田和,35.340123,134.887474
和田山町朝日,35.398159,134.877216
和田山町和田,35.376909,134.874538
和田山町高生田,35.367894,134.862782
和田山町岡田,35.353282,134.873461
和田山町室尾,35.357138,134.855274
和田山町和田山,35.337859,134.853584
和田山町土田,35.344904,134.836218
和田山町宮田,35.348283,134.827703
和田山町岡,35.341309,134.809174
和田山町竹ノ内,35.401353,134.913867
生野町猪野々,35.158723,134.816154
生野町真弓,35.153692,134.794634
生野町白口,35.150370,134.832422
生野町川尻,35.140960,134.776645
生野町竹原野,35.186309,134.815584
岩津,35.205690,134.805101
山口,35.222057,134.810436
羽渕,35.222554,134.788898
立野,35.236348,134.803188
新井,35.237983,134.794418
山東町森,35.287234,134.877630
山東町三保,35.285612,134.889542
山東町溝黒,35.291597,134.878535
山東町柴,35.300428,134.925504
山東町一品,35.309701,134.914961
山東町越田,35.296696,134.890365
山東町粟鹿,35.290395,134.910974
山東町早田,35.310808,134.903502
山東町和賀,35.310864,134.894185
山東町柿坪,35.302741,134.888598
山東町末歳,35.311754,134.886715
山東町塩田,35.321547,134.911714
山東町野間,35.329381,134.904449
山東町新堂,35.320418,134.895709
山東町大内,35.323063,134.901946
山東町矢名瀬,35.320558,134.887001
山東町滝田,35.326316,134.884139
和田山町立ノ原,35.330706,134.856447
和田山町三波,35.304512,134.802188
和田山町殿,35.309590,134.819050
和田山町安井,35.307634,134.830504
和田山町栄,35.309062,134.836588
和田山町加都,35.307269,134.843567
和田山町久留引,35.319415,134.823806
和田山町枚田,35.325575,134.838576
和田山町市御堂,35.319371,134.847732
和田山町法興寺,35.324470,134.857694
和田山町比治,35.317736,134.860482
和田山町筒江,35.306264,134.855567
和田山町竹田,35.290534,134.841169
山東町迫間,35.287248,134.858016
和田山町藤和,35.320074,134.793154
伊由市場,35.262355,134.819740
澤,35.271308,134.823310
桑市,35.262962,134.801362
物部,35.276412,134.809572
和田山町久世田,35.287877,134.815469
和田山町白井,35.352717,134.912360
和田山町東和田,35.350306,134.892076
和田山町中,35.354431,134.889247
和田山町野村,35.351333,134.880954
和田山町内海,35.375455,134.903729
和田山町弥生が丘,35.351549,134.864087
和田山町駅北,35.341395,134.855808
和田山町市場,35.376296,134.859207
和田山町高田,35.365591,134.816735
和田山町寺内,35.366730,134.844873
和田山町柳原,35.345409,134.864301
和田山町平野,35.342254,134.843489
和田山町秋葉台,35.354688,134.844415
和田山町寺谷,35.347552,134.850312
和田山町法道寺,35.357328,134.818005
和田山町宮内,35.358812,134.810487
和田山町林垣,35.363000,134.833128
