name,latitude,longitude
兵庫県,神戸市中央区
港島,34.665691,135.228664
港島中,34.671847,135.214396
神戸空港,34.637702,135.224785
港島南,34.657299,135.220303
脇浜海岸通,34.701149,135.215668
中島通,34.713420,135.209769
神仙寺通,34.714242,135.208615
大日通,34.706074,135.212168
籠池通,34.711886,135.209568
坂口通,34.706637,135.205361
熊内橋通,34.706084,135.204153
神若通,34.703233,135.202266
中尾,34.710262,135.203139
若菜通,34.702047,135.203949
国香通,34.702557,135.203626
上筒井通,34.709257,135.211894
野崎通,34.710302,135.210434
宮本通,34.705949,135.207125
割塚通,34.705737,135.213930
旗塚通,34.705045,135.204694
脇浜,34.703584,135.213039
東雲通,34.702378,135.206330
熊内,34.707450,135.203095
葺合,34.720759,135.194373
生田,34.701722,135.197678
布引,34.703413,135.195584
加納,34.705242,135.195102
吾妻通,34.699172,135.206863
八雲通,34.701308,135.206990
筒井,34.702799,135.210223
日暮通,34.698286,135.202012
雲井通,34.696886,135.201584
北本町通,34.698344,135.207356
南本町通,34.697259,135.208061
真砂通,34.695282,135.205167
浜辺通,34.692714,135.202839
磯上通,34.694063,135.203231
小野柄通,34.695971,135.202100
御幸通,34.695213,135.202599
二宮,34.699851,135.197159
中山手通,34.695658,135.188978
北野,34.701941,135.192864
山本通,34.697388,135.186188
八幡通,34.691947,135.200623
旭通,34.698259,135.200631
琴ノ緒,34.698453,135.198469
北長狭通,34.693309,135.192426
下山手通,34.694506,135.190810
諏訪山,34.695874,135.179146
再度筋,34.694445,135.177300
神戸港地方,34.709978,135.177107
海岸通,34.686174,135.187875
元町通,34.689056,135.188685
小野浜,34.689192,135.209057
新港,34.682556,135.201794
前,34.687188,135.190349
栄町通,34.687583,135.188912
磯辺通,34.690991,135.200396
東,34.688552,135.195268
伊藤,34.687976,135.194935
江戸,34.688876,135.194294
京,34.688797,135.193369
三宮,34.691756,135.193300
浪花,34.688569,135.192630
播磨,34.688383,135.191853
明石,34.688216,135.190918
西,34.688218,135.190028
波止場,34.682680,135.187021
花隈,34.688089,135.181392
多聞通,34.681612,135.177150
弁天,34.681889,135.183446
相生,34.681967,135.179533
元町高架通,34.686107,135.181456
橘通,34.683127,135.177347
楠,34.684593,135.176723
東川崎,34.673476,135.186054
古湊通,34.678234,135.175941
中町通,34.679027,135.175192
