name,latitude,longitude
兵庫県,神戸市兵庫区
鍛冶屋,34.669815,135.176854
本,34.669995,135.174627
西柳原,34.669608,135.168687
門口,34.670512,135.170186
西仲,34.669762,135.172896
西宮内,34.669705,135.171700
大開通,34.669467,135.160425
水木通,34.669724,135.158530
塚本通,34.670035,135.163749
羽坂通,34.670066,135.166036
三川口,34.670969,135.168410
出在家,34.663402,135.176560
今出在家,34.661578,135.177245
島上,34.668794,135.175441
神明,34.667950,135.172359
北逆瀬川,34.668218,135.171275
南仲,34.667723,135.173229
船大工,34.667554,135.175282
磯之,34.667565,135.174137
南逆瀬川,34.666753,135.170923
小河通,34.665726,135.170780
築地,34.664895,135.182146
中之島,34.666106,135.176974
切戸,34.665356,135.171933
御崎本,34.661640,135.170327
芦原通,34.662607,135.169396
松原通,34.663999,135.166894
御所通,34.660873,135.164633
東柳原,34.668408,135.169666
駅前通,34.668305,135.163598
入江通,34.666841,135.169591
浜崎通,34.668079,135.167284
駅南通,34.666587,135.164867
須佐野通,34.665119,135.170027
明和通,34.661525,135.165919
小松通,34.655194,135.173199
笠松通,34.656237,135.173840
和田宮通,34.656992,135.174470
三石通,34.658868,135.176381
和田崎,34.659791,135.177171
上庄通,34.659280,135.175163
浜山通,34.658194,135.171476
遠矢,34.652084,135.174882
材木,34.658611,135.166602
御崎,34.657302,135.169394
吉田,34.653383,135.170654
浜中,34.656272,135.164699
和田山通,34.658759,135.164348
金平,34.654079,135.165562
遠矢浜,34.650099,135.170288
高松,34.652566,135.161132
楠谷,34.692692,135.174118
梅元,34.693078,135.171806
山王,34.692141,135.163776
五宮,34.692412,135.169578
平野,34.703469,135.165435
千鳥,34.692413,135.161770
天王,34.694437,135.157553
西上橘通,34.681287,135.171389
馬場,34.687774,135.171148
矢部,34.690565,135.172867
神田,34.689944,135.170677
上祇園,34.691921,135.167698
荒田,34.682321,135.167208
熊野,34.687137,135.160241
大同,34.687778,135.161916
東山,34.682137,135.163560
菊水,34.686432,135.164207
湊川,34.685099,135.163995
石井,34.688377,135.160800
下祇園,34.688575,135.169232
下三条,34.688838,135.166976
上三条,34.691529,135.166555
雪御所,34.688321,135.165090
湊山,34.691257,135.164658
都由乃,34.690897,135.162425
夢野,34.686384,135.160400
氷室,34.687166,135.157376
北山,34.688583,135.156878
烏原,34.696874,135.151644
里山,34.693254,135.140933
鵯越,34.682236,135.154014
清水,34.686526,135.154054
小山,34.684701,135.152698
滝山,34.684315,135.151410
鵯越筋,34.688387,135.149113
西出,34.671788,135.178955
七宮,34.671231,135.177319
西多聞通,34.679174,135.173650
西橘通,34.680329,135.172340
新開地,34.677612,135.170099
湊,34.675731,135.170663
東出,34.671848,135.182269
佐比江,34.673442,135.175974
永沢,34.673623,135.171158
兵庫,34.672553,135.174255
松本通,34.676932,135.160853
上沢通,34.676012,135.161437
中道通,34.672004,135.160018
下沢通,34.674336,135.161288
福原,34.679283,135.169753
大井通,34.679547,135.163007
会下山,34.679905,135.160308
