let,num
藤,1
田,6
山,3
国,1
久,3
米,3
下,4
上,6
池,1
之,1
内,1
廻,1
渕,1
天,1
神,1
黒,1
谷,4
掎,1
鹿,1
長,1
貞,1
永,1
福,2
牧,1
野,5
三,2
草,2
高,2
岡,2
河,1
貝,1
原,3
西,2
垂,2
水,3
鳥,1
居,1
家,1
社,1
木,2
梨,1
鴨,2
川,2
南,1
森,2
尾,3
藪,1
吉,3
井,2
東,3
小,1
沢,3
大,2
畑,2
厚,1
利,1
横,1
本,1
岩,1
屋,2
新,2
定,1
栄,1
枝,1
松,2
度,1
古,3
瀬,4
中,3
部,1
門,1
ひ,1
ろ,1
の,1
が,1
丘,1
実,1
出,1
佐,1
保,1
村,1
少,1
分,1
秋,1
津,1
口,1
馬,2
平,1
梶,1
喜,1
窪,1
穂,1
積,1
稲,1
北,1
滝,2
光,1
明,1
寺,1
曽,1
我,1
多,1
