name,latitude,longitude
兵庫県,神戸市北区
桜森,34.743738,135.173906
山田町東下,34.761400,135.119754
ひよどり台南,34.691558,135.122422
ひよどり台,34.694667,135.121441
星和台,34.724092,135.121072
有野町唐櫃,34.781502,135.225979
有馬,34.789225,135.255196
山田町上谷上,34.759717,135.192908
小倉台,34.753455,135.166987
緑,34.752571,135.149629
桂木,34.753232,135.147196
山田町原野,34.766309,135.143237
日の峰,34.754715,135.141953
山田町中,34.772340,135.129498
山田町小河,34.749125,135.100783
山田町西下,34.756688,135.108599
山田町坂本,34.780511,135.114776
淡河町野瀬,34.801654,135.153856
淡河町萩原,34.810432,135.109188
淡河町木津,34.810559,135.118847
淡河町行原,34.812832,135.125174
淡河町北畑,34.826978,135.122753
淡河町南僧尾,34.829116,135.109207
淡河町北僧尾,34.836076,135.116654
京地,34.837230,135.211364
道場町塩田,34.865533,135.237089
道場町生野,34.864133,135.268285
有野町有野,34.816201,135.223084
有野町二郎,34.845818,135.227001
西山,34.836958,135.218485
八多町上小名田,34.835567,135.196431
八多町吉尾,34.827327,135.209788
大沢町神付,34.837034,135.181061
大沢町中大沢,34.847893,135.161989
大沢町上大沢,34.849402,135.184629
八多町西畑,34.828918,135.170298
淡河町神影,34.832175,135.142093
淡河町神田,34.831777,135.156388
中里,34.714243,135.154523
鈴蘭台南,34.717403,135.146445
君影,34.715532,135.140535
鈴蘭台北,34.725540,135.157116
鈴蘭台東,34.722120,135.157059
惣山,34.733357,135.156715
南五葉,34.720256,135.139021
鈴蘭台西,34.726230,135.143469
北五葉,34.730401,135.138744
鳴子,34.724081,135.128978
筑紫が丘,34.741694,135.164114
広陵,34.749117,135.163405
大脇台,34.738700,135.161621
山田町小部,34.732713,135.162901
若葉台,34.738394,135.157752
甲栄台,34.737593,135.149416
松宮台,34.736223,135.148455
泉台,34.739355,135.144786
杉尾台,34.735788,135.140679
大原,34.744531,135.143858
谷上西,34.761782,135.168577
谷上南,34.763301,135.178887
谷上東,34.763322,135.175715
有野中,34.825463,135.225371
花山中尾台,34.766285,135.195054
幸陽,34.765227,135.191546
花山東,34.765359,135.185496
松が枝,34.757048,135.151754
唐櫃六甲台,34.782871,135.207807
東大池,34.776217,135.201078
大池見山台,34.774331,135.191494
西大池,34.774106,135.198057
花山台,34.769503,135.184592
青葉台,34.766144,135.152369
柏尾台,34.771310,135.148013
山田町福地,34.774554,135.136551
唐櫃台,34.792324,135.216526
山田町与左衛門新田,34.785655,135.161947
東有野台,34.807574,135.237218
有野台,34.809364,135.228411
藤原台中,34.816837,135.220617
藤原台南,34.812644,135.209691
八多町柳谷,34.812183,135.199086
藤原台北,34.825414,135.222498
八多町附物,34.804502,135.184578
八多町屏風,34.804936,135.172695
八多町深谷,34.823178,135.181929
淡河町中山,34.812149,135.139818
淡河町東畑,34.816293,135.131193
山田町衝原,34.773259,135.092761
淡河町勝雄,34.803575,135.088581
淡河町淡河,34.810020,135.097510
上津台,34.859139,135.194506
鹿の子台南,34.857058,135.207703
赤松台,34.877279,135.184151
菖蒲が丘,34.841947,135.224536
八多町下小名田,34.844028,135.209910
道場町平田,34.852823,135.237274
道場町道場,34.864108,135.229320
八多町中,34.850463,135.218014
道場町日下部,34.860988,135.227316
鹿の子台北,34.859503,135.221763
大沢町日西原,34.861132,135.169126
長尾町宅原,34.862575,135.206702
大沢町市原,34.873953,135.171835
大沢町簾,34.870787,135.160841
長尾町上津,34.876491,135.193979
ひよどり北,34.704457,135.119810
山田町下谷上,34.725645,135.173837
しあわせの村,34.711657,135.114707
山田町藍那,34.731305,135.114730
