name,latitude,longitude
兵庫県,西宮市
山口町中野,34.808882,135.259225
山口町金仙寺,34.824349,135.252275
上甲東園,34.764571,135.355389
鳴尾浜,34.699577,135.363644
日野,34.750469,135.372206
松山,34.747154,135.372051
上之,34.753889,135.37084
二見,34.740631,135.372278
甲子園口,34.736197,135.372611
熊野,34.744214,135.371779
学文殿,34.724886,135.371873
若草,34.726839,135.373458
甲子園三番,34.729625,135.37
上甲子園,34.73238,135.370369
甲子園二番,34.731613,135.372224
里中,34.721228,135.371226
鳴尾,34.714834,135.371214
上田中,34.708478,135.373025
上田西,34.710749,135.370573
高須,34.701722,135.371981
一里山,34.772837,135.371332
田近野,34.777814,135.371949
丸橋,34.752699,135.353851
甲風園,34.753819,135.356469
伏原,34.753976,135.35927
薬師,34.754001,135.363545
荒木,34.754386,135.367003
堤,34.757113,135.370918
樋ノ口,34.759808,135.370043
上大市,34.767219,135.371642
愛宕山,34.755899,135.349022
能登,34.752007,135.351096
高座,34.754825,135.344147
奥畑,34.753349,135.335877
大社,34.752788,135.340061
北名次,34.752691,135.330633
神原,34.756222,135.33362
松風,34.754088,135.327475
石刎,34.751439,135.327674
樋之池,34.751635,135.320287
苦楽園五番,34.754734,135.314107
苦楽園六番,34.752535,135.313648
豊楽,34.75337,135.324788
桜,34.753588,135.321851
苦楽園一番,34.755327,135.317272
北六甲台,34.834906,135.248258
山口町香花園,34.805464,135.245864
山口町上山口,34.827554,135.248671
山口町下山口,34.830497,135.242537
名塩赤坂,34.837858,135.268942
塩瀬町名塩,34.840047,135.291214
国見台,34.838393,135.300663
名塩さくら台,34.838155,135.274128
山口町名来,34.842371,135.24455
松並,34.74557,135.374801
甲子園口北,34.741026,135.376454
戸崎,34.733866,135.377718
甲子園一番,34.731238,135.374795
小松北,34.725929,135.377581
小松,34.723602,135.378181
小松西,34.723083,135.37615
小曽根,34.731474,135.378021
小松東,34.725681,135.381128
池開,34.717716,135.376224
小松南,34.720573,135.377585
武庫川,34.717051,135.380158
笠屋,34.713745,135.374819
東鳴尾,34.713595,135.378882
上田東,34.705663,135.376089
西波止,34.723498,135.33331
西宮浜,34.71368,135.336409
甲子園浜,34.708958,135.34884
大森,34.749697,135.367484
高木西,34.750097,135.359969
高木東,34.750295,135.363215
長田,34.74729,135.362335
北口,34.749143,135.357848
南昭和,34.74643,135.353655
北昭和,34.748687,135.353492
平木,34.746057,135.350215
河原,34.748595,135.346224
大畑,34.748661,135.349903
青木,34.74595,135.346539
広田,34.751059,135.347058
中屋,34.750917,135.343742
室川,34.745406,135.342888
柳本,34.749061,135.342714
越水,34.745488,135.340051
神垣,34.748922,135.339537
城山,34.749387,135.33645
桜谷,34.745853,135.337321
南郷,34.746196,135.332139
清水,34.744857,135.334825
満池谷,34.748862,135.334384
名次,34.74999,135.331786
結善,34.747015,135.330225
松生,34.74648,135.328028
菊谷,34.749587,135.324419
