let,num
桑,1
原,5
大,3
川,4
瀬,4
志,2
手,1
高,1
次,1
香,1
下,9
山,4
田,7
木,2
器,1
乙,1
小,2
野,9
市,1
之,1
柿,1
上,9
内,3
神,4
学,1
園,1
中,6
ゆ,1
り,1
の,1
き,2
台,4
け,2
や,1
井,4
沢,5
加,1
茂,1
東,3
福,1
島,1
尼,1
寺,3
母,1
子,1
藍,1
本,3
庄,2
青,2
永,1
さ,1
く,1
ら,1
坂,2
西,3
村,1
対,1
相,4
生,2
八,1
景,1
横,1
南,1
が,7
丘,7
武,1
庫,1
狭,1
間,1
弥,1
駅,1
前,1
央,1
三,2
輪,1
屋,1
敷,1
天,1
友,1
除,1
深,2
富,1
士,1
す,1
ず,1
か,2
あ,2
し,1
池,1
尻,1
成,1
谷,2
貴,1
馬,1
渡,1
槻,2
鈴,1
鹿,1
里,1
波,1
豆,1
酒,1
十,1
倉,1
布,1
末,2
吉,1
広,2
宮,1
脇,1
畑,1
長,1
テ,1
ク,2
ノ,2
パ,1
ー,1
溝,1
口,1
洞,1
つ,2
じ,1
北,2
浦,1
草,1
四,1
ツ,1
辻,1
須,1
磨,1
