let,num
佐,1
用,1
中,5
島,1
多,1
賀,1
西,5
新,1
宿,1
櫛,1
田,5
下,7
徳,3
久,4
東,2
春,1
哉,1
本,4
郷,3
上,5
石,2
井,4
山,9
延,2
吉,2
平,2
福,5
口,2
長,3
谷,4
横,1
坂,1
円,2
應,1
寺,3
真,2
盛,1
宇,1
根,2
須,1
安,2
金,4
屋,1
皆,1
河,5
崎,3
船,1
越,1
桑,1
野,4
海,2
内,4
三,6
若,1
州,1
奥,3
末,2
包,1
小,3
ツ,1
尾,2
大,9
り,1
宝,1
蔵,1
弦,1
廣,2
土,1
川,1
米,1
乃,1
林,1
原,1
光,2
都,1
畑,1
日,3
月,2
酒,1
赤,1
松,2
釜,1
家,1
秋,2
里,2
仁,2
位,2
寄,1
目,1
高,1
脇,1
早,1
瀬,1
力,1
万,1
畠,2
志,1
文,1
近,2
宗,2
漆,1
庵,1
行,1
澤,1
方,1
木,1
淀,1
豊,1
南,1
垣,1
桜,1
才,1
水,1
