name,latitude,longitude
兵庫県,美方郡新温泉町
中辻,35.501280,134.488069
切畑,35.509866,134.505335
金屋,35.576037,134.496874
湯,35.545432,134.482694
歌長,35.551793,134.509205
多子,35.526312,134.498846
岸田,35.468622,134.464732
石橋,35.504105,134.451135
海上,35.485833,134.444159
熊谷,35.579200,134.521754
藤尾,35.605746,134.522138
久斗山,35.586475,134.560044
三尾,35.657368,134.515545
用土,35.591291,134.487567
今岡,35.585452,134.490583
竹田,35.571064,134.456687
栃谷,35.598444,134.460341
諸寄,35.593475,134.425353
赤崎,35.646591,134.492799
和田,35.636389,134.506279
高末,35.616977,134.504851
二日市,35.616556,134.486728
七釜,35.603046,134.490517
正法庵,35.600792,134.508685
居組,35.608155,134.392171
春来,35.526294,134.524876
桧尾,35.544587,134.534941
伊角,35.563967,134.539313
井土,35.574474,134.481712
細田,35.557891,134.481310
千原,35.553464,134.457404
桐岡,35.529512,134.485859
丹土,35.518515,134.489849
塩山,35.519494,134.466853
前,35.515517,134.454931
宮脇,35.525181,134.445031
飯野,35.537716,134.466028
越坂,35.511501,134.435407
千谷,35.525183,134.428220
内山,35.518236,134.439540
鐘尾,35.547580,134.436640
境,35.607620,134.545772
辺地,35.617710,134.521982
久谷,35.628081,134.518966
釜屋,35.613141,134.411599
芦屋,35.627641,134.441938
指杭,35.636417,134.469505
新市,35.601237,134.478149
古市,35.597194,134.477134
戸田,35.614384,134.471486
対田,35.627947,134.486905
田井,35.636603,134.483600
福富,35.621730,134.469976
清富,35.630807,134.465590
三谷,35.609521,134.459773
浜坂,35.617782,134.448290
