name,latitude,longitude
兵庫県,丹波市
山南町阿草,35.066144,135.105147
山南町上滝,35.093190,135.108528
春日町国領,35.140807,135.125180
柏原町上小倉,35.120370,135.106264
山南町篠場,35.092443,135.083825
山南町青田,35.084934,135.087459
山南町下滝,35.092181,135.095580
山南町北太田,35.093677,135.067181
山南町大河,35.086993,135.059446
山南町畑内,35.089125,135.072406
山南町玉巻,35.093115,135.049770
山南町池谷,35.085154,135.055035
山南町金屋,35.092740,135.033461
山南町岩屋,35.094832,135.020148
春日町野上野,35.166267,135.133031
春日町棚原,35.151032,135.115661
氷上町大谷,35.173549,134.997829
氷上町油利,35.134806,134.997397
氷上町朝阪,35.120837,135.005178
氷上町小野,35.115261,134.993813
山南町草部,35.103411,135.004955
山南町前川,35.088933,134.992334
山南町和田,35.092142,134.980460
山南町小野尻,35.083168,134.955767
氷上町長野,35.168214,135.004604
氷上町新郷,35.152571,135.003266
春日町柚津,35.158475,135.143207
春日町鹿場,35.159050,135.155147
春日町下三井庄,35.158355,135.166887
市島町多利,35.177400,135.169128
春日町上三井庄,35.158960,135.188795
氷上町上成松,35.170243,135.027323
市島町中竹田,35.248660,135.122573
市島町上竹田,35.225464,135.116033
市島町矢代,35.225548,135.131907
市島町北岡本,35.218422,135.126787
市島町市島,35.210171,135.128171
市島町東勅使,35.199488,135.124297
市島町勅使,35.200039,135.117300
春日町池尾,35.192277,135.124784
市島町梶原,35.199501,135.133206
春日町多田,35.180204,135.112936
春日町多利,35.178957,135.141518
春日町七日市,35.169279,135.114309
春日町黒井,35.173418,135.099099
春日町朝日,35.165330,135.085239
春日町石才,35.166447,135.076654
春日町歌道谷,35.164881,135.072738
春日町野山,35.168039,135.063702
氷上町市辺,35.167526,135.050767
氷上町西中,35.169422,135.036229
氷上町柿柴,35.171941,135.017633
青垣町中佐治,35.262256,135.002466
青垣町市原,35.254521,134.984622
氷上町三原,35.163900,134.970552
氷上町上新庄,35.193621,135.004942
氷上町清住,35.201536,134.989630
氷上町井中,35.206296,135.022864
青垣町西芦田,35.227735,134.988513
青垣町小倉,35.241697,134.989530
