name,latitude,longitude
兵庫県,たつの市
御津町室津,34.770872,134.484696
揖西町土師,34.834286,134.496998
揖西町南山,34.836642,134.502248
揖西町龍子,34.841266,134.511463
揖保川町二塚,34.835545,134.518582
揖保川町本條,34.836345,134.523499
揖保川町養久,34.840064,134.522935
揖保川町新在家,34.837061,134.529573
揖保町揖保上,34.836102,134.537050
揖保町中臣,34.837283,134.546803
誉田町下沖,34.836600,134.554695
誉田町井上,34.839783,134.558856
新宮町善定,34.914137,134.498046
揖西町新宮,34.867200,134.502230
揖西町小畑,34.842836,134.496852
揖西町菖蒲谷,34.887892,134.496281
揖西町竹原,34.839295,134.487464
揖西町北沢,34.851081,134.498926
揖西町小犬丸,34.861477,134.479901
新宮町大屋,34.925195,134.524404
新宮町芝田,34.918041,134.539682
新宮町新宮,34.919758,134.556034
新宮町曽我井,34.911731,134.561847
新宮町光都,34.921885,134.452773
新宮町二柏野,34.918842,134.468616
新宮町福栖,34.943163,134.508810
新宮町千本,34.948106,134.487549
新宮町牧,34.973824,134.487152
新宮町奥小屋,34.996173,134.493827
御津町黒崎,34.775766,134.554272
御津町苅屋,34.774987,134.568272
御津町釜屋,34.783267,134.556367
御津町朝臣,34.787789,134.555433
御津町碇岩,34.794292,134.546206
御津町岩見,34.780145,134.540442
御津町中島,34.795730,134.562003
揖保町真砂,34.811566,134.554748
揖保町萩原,34.815895,134.548060
揖保川町市場,34.807942,134.547106
揖保川町浦部,34.805638,134.535507
揖保川町袋尻,34.807365,134.540277
揖保川町金剛山,34.805679,134.525443
揖保川町馬場,34.792447,134.518319
誉田町片吹,34.833015,134.558722
揖保町松原,34.825805,134.554788
揖保町東用,34.819744,134.547962
揖保町栄,34.826858,134.547583
揖保町門前,34.830022,134.552919
揖保町西構,34.826727,134.542004
揖保町今市,34.821305,134.537203
揖保町揖保中,34.830725,134.535535
揖保川町山津屋,34.819808,134.524197
揖保川町正條,34.823884,134.529288
揖保川町黍田,34.817266,134.516609
揖保川町神戸北山,34.828225,134.522798
揖保川町原,34.814164,134.508387
揖保川町片島,34.829550,134.510224
揖保川町大門,34.825352,134.502597
誉田町高駄,34.846007,134.556811
誉田町上沖,34.843882,134.553274
誉田町長真,34.847471,134.551979
揖保町山下,34.842087,134.544268
揖保川町野田,34.842605,134.531250
揖西町尾崎,34.845329,134.505769
誉田町福田,34.847807,134.571533
誉田町内山,34.854193,134.572897
龍野町中井,34.862507,134.576369
龍野町末政,34.862516,134.562921
誉田町広山,34.847015,134.562120
誉田町誉,34.851281,134.565094
龍野町宮脇,34.854348,134.561674
龍野町四箇,34.850046,134.549556
龍野町小宅北,34.853628,134.557198
龍野町中村,34.860903,134.558184
龍野町堂本,34.855802,134.553652
龍野町大道,34.848773,134.543517
龍野町富永,34.858461,134.546545
龍野町水神,34.866307,134.548242
龍野町川原,34.863134,134.545016
龍野町下川原,34.865341,134.546956
龍野町旭,34.867502,134.548565
龍野町上川原,34.867785,134.546959
龍野町立,34.865876,134.544376
龍野町大手,34.866533,134.545399
龍野町本,34.864414,134.544097
龍野町福の神,34.865754,134.543155
龍野町日山,34.862247,134.539119
龍野町下霞城,34.866403,134.540274
揖西町芦原台,34.857824,134.533861
揖保川町半田,34.850743,134.534156
揖西町佐江,34.849888,134.522816
揖西町前地,34.847807,134.518088
揖西町北山,34.847272,134.514493
揖西町竹万,34.849778,134.510709
揖西町清水新,34.858261,134.524754
揖西町清水,34.853588,134.524950
揖西町田井,34.855915,134.514628
揖西町構,34.855947,134.504290
揖西町住吉,34.852033,134.505075
神岡町入野,34.872115,134.574370
神岡町沢田,34.876464,134.567743
龍野町片山,34.867180,134.562272
龍野町日飼,34.867392,134.553982
龍野町柳原,34.869268,134.549608
龍野町島田,34.874672,134.556193
龍野町門の外,34.869372,134.548183
龍野町上霞城,34.867782,134.544773
龍野町中霞城,34.868473,134.542327
龍野町北龍野,34.875748,134.542231
揖西町小神,34.860724,134.530473
神岡町田中,34.883037,134.589380
神岡町寄井,34.877651,134.583041
神岡町追分,34.889552,134.594733
神岡町野部,34.891728,134.586043
神岡町西鳥井,34.888514,134.579086
神岡町筒井,34.894859,134.580717
神岡町横内,34.886989,134.574071
神岡町西横内,34.887233,134.568783
神岡町上横内,34.892066,134.576491
神岡町北横内,34.893199,134.571408
神岡町奥村,34.893874,134.566809
神岡町東觜崎,34.887512,134.554675
神岡町大住寺,34.892164,134.560800
新宮町北村,34.899745,134.552767
新宮町觜崎,34.894912,134.552983
新宮町佐野,34.886406,134.544095
新宮町船渡,34.894448,134.546635
新宮町下野田,34.893353,134.535690
新宮町仙正,34.901382,134.546781
新宮町中野庄,34.900618,134.543122
新宮町井野原,34.908897,134.549698
新宮町段之上,34.909479,134.543684
新宮町馬立,34.900063,134.533577
揖西町中垣内,34.879733,134.522501
新宮町市野保,34.910673,134.527412
揖西町長尾,34.849930,134.487467
新宮町下野,34.927520,134.558323
新宮町下笹,34.940211,134.566924
新宮町吉島,34.937644,134.546915
新宮町宮内,34.931893,134.542343
新宮町平野,34.933005,134.529639
新宮町能地,34.937111,134.515374
新宮町上笹,34.945453,134.556670
新宮町香山,34.957595,134.542515
新宮町篠首,34.959488,134.519621
新宮町栗,34.936724,134.468516
新宮町角亀,34.933073,134.457932
新宮町時重,34.962965,134.467015
新宮町鍛冶屋,34.954344,134.470459
新宮町上莇原,34.950580,134.455103
新宮町下莇原,34.961584,134.447870
