name,latitude,longitude
兵庫県,豊岡市
但東町佐田,35.426446,135.003268
但東町久畑,35.414944,135.018683
但東町東中,35.405558,135.002053
但東町小坂,35.398141,134.99486
出石町上村,35.428507,134.856303
出石町奥山,35.420021,134.895708
但東町大河内,35.416283,135.039041
但東町薬王寺,35.433927,135.033632
但東町中山,35.499187,134.998549
但東町畑,35.435294,134.923761
但東町西谷,35.422121,134.941458
但東町天谷,35.419852,134.966251
但東町佐々木,35.427609,134.982446
但東町栗尾,35.444292,135.009121
但東町平田,35.449408,134.983517
但東町坂津,35.466481,135.00294
但東町畑山,35.485069,134.994465
出石町口小野,35.503157,134.889055
出石町柳,35.462505,134.871315
出石町日野辺,35.452037,134.886252
出石町袴狭,35.48717,134.889086
出石町宮内,35.480796,134.872616
出石町町分,35.46968,134.873932
出石町水上,35.474534,134.867293
出石町上野,35.437917,134.878679
出石町小人,35.456037,134.873493
出石町川原,35.465727,134.870994
出石町内,35.460865,134.874334
出石町田結庄,35.462847,134.872225
日高町小河江,35.503858,134.741903
日高町八代,35.492022,134.745126
日高町祢布,35.470242,134.767277
日高町夏栗,35.472033,134.747399
日高町道場,35.45725,134.745511
日高町佐田,35.449248,134.740058
日高町知見,35.433724,134.737523
日高町稲葉,35.515177,134.635684
但東町虫生,35.514419,135.002385
但東町奥藤,35.509025,135.034654
但東町奥矢根,35.490991,134.922383
但東町唐川,35.498261,134.9472
但東町木村,35.50012,134.963011
但東町坂野,35.520894,134.984853
但東町西野々,35.509444,134.968349
但東町口藤,35.520177,135.012078
日高町上石,35.499625,134.79786
日高町竹貫,35.49997,134.789728
日高町藤井,35.499063,134.783739
日高町奈佐路,35.508484,134.773275
日高町中,35.493695,134.763095
ひじ渕,35.50026,134.820684
辻,35.514917,134.757816
日高町東芝,35.500972,134.806118
加陽,35.505271,134.826333
出石町伊豆,35.49787,134.843626
倉見,35.502307,134.856628
長谷,35.507772,134.865023
神美台,35.514466,134.857438
森尾,35.520525,134.875787
市場,35.538938,134.871424
法花寺,35.554462,134.870793
栄,35.562618,134.860376
竹野町森本,35.581712,134.736221
日高町大岡,35.509521,134.717072
日高町河江,35.49082,134.730721
日高町太田,35.507146,134.690982
日高町栗栖野,35.501595,134.669799
日高町山田,35.499909,134.647954
江野,35.573264,134.759077
船谷,35.513795,134.748673
福成寺,35.535883,134.754798
野垣,35.543927,134.756976
内,35.522868,134.756435
宮井,35.552551,134.759213
赤石,35.592719,134.805619
伊賀谷,35.584033,134.778612
城崎町上山,35.589193,134.793424
下鶴井,35.579966,134.822606
城崎町飯谷,35.599016,134.828581
畑上,35.60102,134.851972
下宮,35.569924,134.85288
三原,35.623866,134.864787
竹野町下塚,35.603117,134.76112
竹野町切濱,35.657308,134.744676
竹野町御又,35.581089,134.720211
竹野町河内,35.589213,134.709677
竹野町門谷,35.5805,134.6999
竹野町林,35.60339,134.742066
竹野町東大谷,35.614549,134.741085
竹野町鬼神谷,35.625735,134.745965
竹野町須谷,35.635956,134.74872
竹野町草飼,35.648397,134.750142
竹野町竹野,35.65647,134.767125
竹野町田久日,35.661827,134.803775
但東町後,35.410117,135.012016
但東町奥赤,35.462706,135.0335
但東町赤花,35.476612,135.018959
但東町太田,35.498632,134.971251
但東町日向,35.495353,134.979785
但東町三原,35.478904,134.951592
但東町出合,35.470983,134.94874
但東町南尾,35.466063,134.945033
但東町出合市場,35.461512,134.938661
但東町正法寺,35.464105,134.979817
但東町相田,35.447297,134.965585
但東町河本,35.441385,134.947714
但東町日殿,35.451696,134.945515
但東町小谷,35.468445,134.962879
但東町水石,35.44535,134.917158
出石町桐野,35.443261,134.902768
出石町寺坂,35.45931,134.904221
出石町伊木,35.457995,134.875919
出石町下谷,35.458439,134.880799
出石町材木,35.460809,134.877269
出石町入佐,35.462264,134.87832
出石町魚屋,35.462949,134.875967
出石町八木,35.462449,134.873942
出石町本,35.463166,134.873746
出石町宵田,35.463933,134.874029
出石町寺,35.46931,134.881306
出石町東條,35.463774,134.879487
出石町鉄砲,35.46464,134.87433
但東町東里,35.485554,134.969897
但東町矢根,35.466991,134.92213
出石町谷山,35.469008,134.896456
出石町馬場,35.463821,134.869015
日高町久斗,35.462908,134.758332
出石町安良,35.498487,134.84993
出石町福居,35.49104,134.84614
出石町坪井,35.487123,134.867464
出石町鳥居,35.48121,134.85644
出石町嶋,35.489125,134.854663
出石町森井,35.478567,134.848418
出石町丸中,35.481363,134.844518
出石町大谷,35.480403,134.839115
出石町三木,35.480611,134.832092
出石町長砂,35.477272,134.862494
出石町荒木,35.467121,134.836164
出石町弘原,35.466078,134.866806
出石町鍜冶屋,35.456435,134.868085
出石町松枝,35.462038,134.869777
出石町福住,35.465485,134.859281
出石町中村,35.447806,134.851262
出石町細見,35.460146,134.844196
出石町福見,35.455038,134.82388
日高町鶴岡,35.464202,134.796975
出石町暮坂,35.442092,134.830026
日高町日置,35.459381,134.78943
日高町赤崎,35.448981,134.780966
日高町江原,35.465395,134.778891
日高町浅倉,35.455135,134.767087
日高町宵田,35.46523,134.774478
