let,num
但,42
東,48
町,204
佐,7
田,21
久,4
畑,4
中,13
小,10
坂,9
出,54
石,57
上,14
村,3
奥,7
山,15
大,10
河,7
内,7
薬,1
王,2
寺,14
西,3
谷,23
天,1
々,4
木,8
栗,4
尾,3
平,1
津,6
口,4
野,57
柳,1
日,78
辺,1
袴,1
狭,1
宮,6
分,2
水,4
人,1
川,4
原,9
結,3
庄,5
高,68
江,6
八,3
代,2
祢,1
布,1
夏,1
道,1
場,6
知,1
見,4
稲,1
葉,1
虫,1
生,1
藤,4
矢,2
根,2
唐,1
竹,36
貫,1
井,12
奈,1
路,1
ひ,1
じ,1
渕,1
辻,1
芝,3
加,2
陽,1
伊,4
豆,1
倉,2
長,2
神,2
美,1
台,1
森,8
市,7
法,3
花,2
栄,2
本,9
岡,5
太,2
栖,1
船,2
福,5
成,1
垣,4
赤,4
賀,1
城,11
崎,10
下,7
鶴,2
飯,1
三,7
塚,1
切,1
濱,2
御,1
又,1
門,1
林,1
鬼,1
須,4
草,1
飼,1
後,1
向,1
合,3
南,3
正,2
相,1
殿,2
桐,1
材,1
入,2
魚,1
屋,3
宵,2
條,1
鉄,1
砲,1
里,1
馬,1
斗,1
安,1
良,1
居,4
坪,1
鳥,1
嶋,1
丸,2
砂,1
荒,2
弘,1
鍜,1
冶,1
松,4
枝,1
住,2
細,1
暮,1
置,1
浅,1
岩,3
国,1
池,1
郷,2
堀,1
府,3
土,1
新,2
猪,2
ノ,2
爪,1
多,1
地,3
片,1
間,1
引,1
観,1
音,1
篠,2
広,2
子,1
境,2
羽,2
尻,1
十,1
戸,4
頃,1
栃,2
名,1
色,1
万,2
龍,1
立,3
鉢,2
清,1
冷,1
香,1
駄,1
社,1
塩,2
伏,1
今,2
九,3
弥,1
昭,1
和,2
妙,1
楽,2
宅,1
磯,2
百,1
梶,1
京,1
桜,1
元,1
央,1
泉,1
千,1
寿,1
手,1
若,1
牧,1
陰,3
吉,1
祥,1
雲,1
鎌,1
六,1
蔵,1
撫,1
幸,1
島,5
金,3
剛,1
一,1
滝,1
堂,1
熊,1
桑,1
椒,1
劫,1
二,1
連,1
目,1
段,1
瀬,1
轟,1
阿,1
来,1
浦,1
芦,1
気,1
比,1
宇,1
桃,1
湯,1
坊,1
