name,latitude,longitude
茨城県,常陸太田市
赤土,36.627376,140.450515
芦間,36.569478,140.492396
新地,36.527205,140.454711
新宿,36.544281,140.510120
粟原,36.498362,140.502365
磯部,36.518971,140.531597
稲木,36.531692,140.516358
岩手,36.560778,140.473860
内田,36.512383,140.548392
内堀,36.543078,140.527155
大方,36.538476,140.468937
大里,36.532651,140.490206
大菅,36.680014,140.515346
大平,36.549710,140.495709
大中,36.731811,140.490583
大森,36.522033,140.589207
岡田,36.522010,140.554161
小沢,36.525598,140.543000
小島,36.504695,140.481912
落合,36.508356,140.546182
小目,36.517028,140.564390
折橋,36.732150,140.534107
堅磐,36.501142,140.558010
金井,36.538047,140.529435
上大門,36.604716,140.511867
上河合,36.509811,140.513478
上高倉,36.728961,140.457119
上土木内,36.506116,140.560310
上利員,36.596247,140.442128
上深荻,36.665995,140.528177
上宮河内,36.642878,140.434712
亀作,36.540743,140.565488
河内西,36.650558,140.513957
木崎一,36.534773,140.521632
木崎二,36.533360,140.523666
薬谷,36.529572,140.474522
国安,36.599788,140.489299
久米,36.546340,140.477890
天下野,36.665921,140.473500
小菅,36.700026,140.516973
小妻,36.776001,140.514743
寿,36.540278,140.520106
小中,36.754682,140.512226
栄,36.547788,140.521745
里川,36.825159,140.534340
里野宮,36.568611,140.539155
沢目,36.515109,140.551913
三才,36.528948,140.536090
島,36.506420,140.497855
下大門,36.577586,140.512011
下河合,36.506479,140.528551
下高倉,36.697982,140.466900
下利員,36.560946,140.439203
下宮河内,36.618827,140.436248
常福地,36.587409,140.530916
白羽,36.575288,140.553797
瑞龍,36.569738,140.527402
千寿,36.575710,140.463886
高柿,36.555142,140.468873
高貫,36.556727,140.566761
竹合,36.545645,140.459197
棚谷,36.598543,140.464539
玉造,36.558406,140.489297
田渡,36.565599,140.558898
茅根,36.587327,140.568370
天神林,36.526051,140.503026
東連地,36.575060,140.477347
徳田,36.791350,140.483218
中城,36.545331,140.526658
中染,36.635715,140.491608
中利員,36.579799,140.447582
中野,36.511470,140.476537
西一,36.541544,140.522371
西河内上,36.632220,140.512388
西河内下,36.612051,140.534193
西河内中,36.623544,140.527911
西三,36.537215,140.521721
西染,36.624907,140.469398
西二,36.539751,140.522500
西宮,36.548847,140.537636
長谷,36.554166,140.556613
幡,36.540277,140.542474
花房,36.533410,140.459014
塙,36.541340,140.528813
馬場,36.552701,140.523962
春友,36.597813,140.562350
東一,36.541476,140.523828
東三,36.537959,140.524096
東染,36.663291,140.504989
東二,36.539740,140.524252
藤田,36.517925,140.491854
増井,36.562805,140.517589
町田,36.620247,140.491827
町屋,36.608288,140.561962
松栄,36.514175,140.464670
松平,36.588644,140.491815
真弓,36.539715,140.581630
箕,36.556964,140.447811
宮の郷,36.546406,140.449670
宮本,36.545420,140.517728
谷河原,36.515791,140.519431
山下,36.528600,140.529527
和久,36.611291,140.484508
和田,36.581125,140.494010
