name,latitude,longitude
茨城県,潮来市
あやめ,35.936508,140.547471
潮来,35.924649,140.580692
牛堀,35.961249,140.516172
上戸,35.953109,140.532650
大生,35.991198,140.551163
大賀,35.998080,140.545728
大洲,35.943896,140.573886
大塚野,35.944461,140.540190
大山,35.963265,140.577392
釜谷,35.992646,140.563438
川尾,35.963543,140.562045
清水,35.992197,140.519544
小泉,35.958128,140.575507
下田,35.960136,140.591980
島須,35.976822,140.537770
新宮,35.965100,140.579856
須賀,35.953063,140.565081
洲崎,35.957259,140.596763
築地,35.970593,140.558972
辻,35.956168,140.553300
徳島,35.925167,140.605177
永山,35.968931,140.510109
延方東,35.953246,140.592289
日の出,35.933042,140.584613
福島,35.935071,140.591878
古高,35.963258,140.569527
堀之内,35.973025,140.523703
前川,35.949372,140.599200
曲松,35.951925,140.569931
水原,35.981928,140.575707
宮前,35.958236,140.590327
茂木,35.988058,140.529447
米島,35.936846,140.608700
