let,num
相,1
野,5
谷,4
東,2
新,18
井,1
木,4
伊,1
左,2
衛,2
門,1
田,21
内,3
守,2
町,10
き,1
ぬ,1
の,1
里,1
大,8
崎,6
沢,2
塚,2
戸,3
生,5
郷,2
輪,2
岡,7
沖,1
小,2
保,1
川,6
乙,3
甲,3
丙,2
蔵,2
持,2
栗,1
山,9
鴻,2
国,1
五,1
郎,1
兵,3
坂,3
手,1
笹,1
平,3
太,1
篠,1
十,1
花,2
上,1
蛇,1
石,3
下,4
菅,1
杉,1
収,1
納,1
房,2
舘,1
方,1
長,1
助,1
原,2
豊,7
丁,1
中,3
妻,1
沼,2
島,1
羽,1
馬,2
場,2
宿,1
福,3
二,3
古,3
間,3
曲,1
孫,1
ヱ,1
三,2
水,13
海,13
道,13
亀,1
又,1
高,1
栄,1
諏,1
訪,1
宝,1
天,1
満,1
橋,1
本,4
淵,1
頭,1
元,1
森,1
箕,1
向,1
口,1
横,1
曽,1
根,1
若,1
宮,1
