name,latitude,longitude
茨城県,笠間市
赤坂,36.390394,140.249788
安居,36.281661,140.337658
旭,36.326647,140.320704
飯合,36.382915,140.221718
飯田,36.417971,140.268765
池野辺,36.410162,140.336464
石井,36.386953,140.236558
石寺,36.427649,140.259485
泉,36.281663,140.260820
市野谷,36.277910,140.284538
稲田,36.370252,140.201559
大郷戸,36.393814,140.198908
大古山,36.316891,140.296289
大田,36.348768,140.290124
大橋,36.428649,140.308290
大渕,36.395547,140.275912
押辺,36.289214,140.309191
小原,36.375770,140.322346
笠間,36.378780,140.261722
柏井,36.313275,140.351695
片庭,36.413235,140.207355
金井,36.399165,140.259073
上市原,36.389332,140.297284
上加賀田,36.335139,140.253093
上郷,36.305304,140.245253
北吉原,36.354845,140.239338
来栖,36.371025,140.234113
鯉淵,36.344212,140.325985
鴻巣,36.355805,140.317115
五平,36.353388,140.334511
下市毛,36.366466,140.253864
下市原,36.370520,140.300498
下加賀田,36.332622,140.272539
下郷,36.306373,140.283105
住吉,36.316149,140.319604
平,36.354629,140.276850
中央,36.345352,140.307049
手越,36.360480,140.267310
寺崎,36.397991,140.251462
友部駅前,36.350299,140.307729
中市原,36.375553,140.293360
長兎路,36.304746,140.338673
長兎路仁古田入会地,36.312881,140.365412
随分附,36.325235,140.338822
仁古田,36.303234,140.351880
箱田,36.414492,140.229162
土師,36.304340,140.301098
橋爪,36.337026,140.294457
東平,36.350944,140.312509
日草場,36.380659,140.282664
日沢,36.411897,140.250560
福島,36.274805,140.294196
福田,36.410294,140.297675
福原,36.342504,140.180489
南小泉,36.326484,140.285926
南友部,36.358194,140.303138
南吉原,36.353516,140.256865
美原,36.344879,140.311545
本戸,36.339472,140.218981
八雲,36.347688,140.305753
矢野下,36.324071,140.302942
湯崎,36.315892,140.336787
吉岡,36.295112,140.287038
