name,latitude,longitude
茨城県,龍ヶ崎市
愛戸,35.913113,140.189236
泉,35.950614,140.212387
板橋,35.934891,140.248173
稲荷新田,35.927169,140.156236
入地,35.919939,140.153418
薄倉,35.933057,140.221621
大塚,35.940201,140.23789
大留,35.894578,140.153721
貝原塚,35.941183,140.18745
門倉新田,35.912645,140.167254
上大徳新,35.899612,140.200074
上,35.905561,140.187684
川崎,35.926907,140.146793
川余郷,35.903115,140.182626
川原代,35.912865,140.152982
北方,35.884464,140.157839
久保台,35.929062,140.177686
高作,35.919935,140.239129
光順田,35.90591,140.195474
向陽台,35.93591,140.227001
小柴,35.932662,140.158825
古城,35.909239,140.192767
小通幸谷,35.927937,140.132906
米,35.907483,140.181389
佐貫,35.928509,140.139764
佐貫,35.946323,140.129726
佐沼,35.886158,140.196016
下,35.904715,140.192391
城ノ内,35.927963,140.197691
庄兵衛新田,35.944571,140.137495
白羽,35.922513,140.218306
新,35.906762,140.183871
直鮒,35.899732,140.186637
須藤堀,35.895306,140.16986
砂,35.903174,140.196888
大徳,35.897889,140.206137
高砂,35.895694,140.184628
高須,35.901454,140.15719
出し山,35.912363,140.193926
田,35.908594,140.188293
寺後,35.911059,140.182713
豊田,35.88631,140.141901
長沖新田,35.900062,140.164793
長沖,35.892909,140.159573
中里,35.933921,140.203266
中根台,35.929481,140.169186
長峰,35.913756,140.228003
長山,35.942557,140.153618
中谷原,35.901739,140.173297
奈戸岡,35.91746,140.187847
馴馬,35.921105,140.176372
馴柴,35.920134,140.161419
塗戸,35.916841,140.243858
根,35.910856,140.188063
羽黒,35.881382,140.136534
羽原,35.925916,140.190436
半田,35.920197,140.235718
稗柄,35.933445,140.132181
姫宮,35.903251,140.171724
姫宮,35.905633,140.174674
平台,35.92058,140.168474
藤ケ丘,35.934719,140.200296
別所,35.931699,140.183526
松ケ丘,35.934803,140.206442
松葉,35.93475,140.156282
緑,35.908586,140.197558
南が丘,35.881145,140.141537
南中島,35.922131,140.147536
宮渕,35.898874,140.223829
八代,35.915055,140.211431
野原,35.913464,140.200713
野原,35.911602,140.199391
横,35.907248,140.187004
六斗蒔,35.900692,140.178409
若柴,35.937446,140.145898
