name,latitude,longitude
石川県,白山市
相滝,36.339795,136.596001
青葉台,36.515913,136.580861
明島,36.461879,136.608952
旭丘,36.552502,136.573808
あさひ荘苑,36.535080,136.574885
阿手,36.292247,136.570828
阿弥陀島,36.504906,136.514823
荒谷,36.256858,136.687362
荒屋柏野,36.498651,136.538938
荒屋,36.484772,136.607879
行,36.487512,136.591768
安養寺,36.497924,136.595502
安養寺,36.494585,136.594252
石立,36.510240,136.505371
石同新,36.519735,136.570013
石同,36.522221,136.568967
井関,36.490785,136.507362
一塚,36.558607,136.560487
市原,36.317577,136.650401
乾,36.523661,136.583048
井口,36.474282,136.605165
今平,36.499757,136.579278
内方新保,36.487621,136.555721
漆島,36.472926,136.579775
大竹,36.471417,136.589569
小川,36.523624,136.521899
尾添,36.216223,136.729585
乙丸,36.497677,136.573516
女原,36.268713,136.655885
小柳,36.472600,136.617586
笠間新,36.505449,136.529699
笠間,36.505134,136.523204
鹿島平,36.504163,136.508869
鍛治,36.521591,136.565749
鹿島,36.502941,136.501729
柏,36.504516,136.534173
数瀬,36.301700,136.588383
釜清水,36.357992,136.614247
釜谷,36.247329,136.649666
上小川,36.519403,136.520672
上柏野,36.496299,136.546696
上島田,36.482371,136.549616
上野,36.372867,136.604429
上二口,36.505083,136.576511
上安田,36.481406,136.536414
上吉谷,36.328687,136.632463
河合,36.396328,136.609910
河内町板尾,36.382648,136.677627
河内町内尾,36.334261,136.709460
河内町奥池,36.350480,136.721570
河内町きりの里,36.390897,136.616920
河内町金間,36.359284,136.655755
河内町口直海,36.400414,136.642029
河内町久保,36.377315,136.630909
河内町江津,36.385156,136.615315
河内町下折,36.349545,136.675790
河内町中直海,36.391076,136.641798
河内町吹上,36.373787,136.639590
河内町福岡,36.393971,136.625005
河内町ふじが丘,36.399191,136.626421
河内町吉岡,36.375410,136.621893
河原山,36.304400,136.632563
北島,36.499589,136.516467
北成,36.535062,136.556448
北安田西,36.524193,136.545733
北安田,36.524276,136.549223
木滑,36.306936,136.650774
木滑新,36.290795,136.666970
倉部,36.557627,136.552398
倉光,36.509942,136.568885
黒瀬,36.513768,136.522112
桑島,36.193456,136.658869
剣崎,36.497395,136.562076
源兵島,36.485807,136.519451
木津,36.502258,136.588794
幸明,36.515989,136.578022
御影堂,36.488147,136.549537
小上,36.501563,136.542759
五十谷,36.317078,136.560091
五歩市,36.531752,136.576567
五味島,36.255601,136.653887
坂尻,36.482290,136.623199
佐良,36.332608,136.653181
三宮,36.434970,136.646820
七原,36.485018,136.597643
七郎,36.515647,136.525826
柴木,36.493627,136.602100
柴木,36.491310,136.601295
島田,36.481841,136.557132
下柏野,36.496999,136.531907
下田原,36.201863,136.584736
下野,36.383681,136.605885
下吉谷,36.340512,136.628142
白峰,36.131836,136.686909
白山,36.419823,136.644587
新田,36.533341,136.570546
新成,36.532967,136.557959
末広,36.520398,136.567540
末正,36.481113,136.505027
菅波,36.490180,136.572027
杉森,36.350171,136.607581
瀬木野,36.403988,136.619368
瀬戸,36.281657,136.657224
瀬波,36.307767,136.691450
専福寺,36.524005,136.590452
相川新,36.547902,136.542581
相川,36.542172,136.542680
竹松,36.546544,136.555606
田地,36.490241,136.578406
辰巳,36.521973,136.567325
田中,36.529608,136.587783
知気寺,36.484217,136.602952
茶屋,36.523183,136.560628
中宮,36.259185,136.763637
長屋,36.483385,136.497843
千代野東,36.520548,136.543355
月橋,36.464151,136.630824
鶴来朝日,36.448555,136.632181
鶴来今,36.441802,136.630073
鶴来後山,36.454041,136.648202
鶴来大国,36.452006,136.620890
鶴来上東,36.447357,136.628445
鶴来桑島,36.496494,136.597749
鶴来下東,36.448619,136.627637
鶴来新,36.445011,136.628892
鶴来清沢,36.447311,136.630473
鶴来千原,36.455086,136.639710
鶴来知守,36.450827,136.627691
鶴来日詰,36.450924,136.632628
鶴来日吉,36.447335,136.640133
鶴来古,36.447104,136.625314
鶴来本,36.446730,136.627253
鶴来水戸,36.445259,136.621122
出合島,36.476358,136.528641
出合,36.352924,136.590548
手取,36.487244,136.502759
道法寺,36.475509,136.634176
鴇ケ谷,36.241175,136.615952
徳丸,36.522681,136.577844
徳光,36.532609,136.532114
富光寺,36.495215,136.600698
中奥,36.517860,136.581006
中柏野,36.498037,136.542465
中島,36.408962,136.641180
長島,36.492574,136.555106
中新保,36.552889,136.578622
長竹,36.521016,136.588960
中成,36.527161,136.554832
中ノ郷,36.486179,136.585196
成,36.522794,136.556739
西柏,36.502372,136.531044
西柏,36.503345,136.532689
西佐良,36.332938,136.639632
西美沢野,36.503257,136.529395
西美沢野,36.504147,136.530862
西米光,36.495919,136.501940
布市,36.522627,136.571083
野地,36.319555,136.584889
博労,36.521594,136.564610
橋爪新,36.509104,136.585324
橋爪,36.515783,136.585750
蓮池,36.499919,136.497735
八田中,36.558480,136.573235
八田,36.560494,136.564166
馬場,36.521170,136.563063
番匠,36.534264,136.582536
番田,36.480150,136.526575
東一番,36.523607,136.569315
東柏,36.505482,136.534965
東二番,36.524707,136.568811
東二口,36.284678,136.623779
東美沢野,36.506616,136.533635
左礫,36.293855,136.609365
日御子,36.467855,136.610381
日向,36.478819,136.593404
平加,36.495254,136.491255
平木,36.533597,136.546531
平松,36.504976,136.568649
広瀬,36.418149,136.625359
深瀬,36.234108,136.653939
深瀬新,36.489149,136.597853
福正寺,36.514221,136.591015
福新,36.488971,136.536257
福留,36.491797,136.529971
福留南,36.487760,136.527665
福永,36.484930,136.531179
福増,36.542001,136.577888
仏師ヶ野,36.289061,136.636677
藤波,36.487531,136.575402
藤木,36.484113,136.578801
蕪城,36.530716,136.553069
部入道,36.494939,136.605801
別宮出,36.355086,136.607369
別宮,36.360408,136.605291
法仏,36.517904,136.537579
坊丸,36.493211,136.578973
松本,36.513540,136.512951
三浦,36.509165,136.578173
美川今,36.487607,136.488311
美川永代,36.489985,136.481482
美川北,36.486735,136.486452
美川神幸,36.488242,136.487267
美川新,36.487149,136.486187
美川末広,36.489172,136.487902
美川中,36.487271,136.493114
美川浜,36.489556,136.491716
美川南,36.484692,136.484681
美川本吉,36.482352,136.489499
美川和波,36.491166,136.487351
神子清水,36.344534,136.611842
三坂,36.367749,136.591587
美里,36.520703,136.581586
美沢野,36.505254,136.531869
水島,36.480780,136.513444
みずほ,36.496160,136.583943
水澄,36.490589,136.519539
三ツ瀬,36.305558,136.597529
三ツ屋野,36.318065,136.637048
湊,36.475271,136.475618
宮永市,36.538133,136.568649
宮永新,36.549241,136.574970
宮永,36.543483,136.567356
宮原,36.506482,136.535509
宮保新,36.507258,136.532025
宮保,36.514747,136.534367
宮丸,36.507701,136.549978
三幸,36.513220,136.577803
明法島,36.475820,136.588707
向島,36.479452,136.582606
村井新,36.551855,136.545906
村井東,36.516810,136.560093
村井,36.508936,136.558844
明光,36.477179,136.611311
森島,36.467421,136.597939
矢頃島,36.475268,136.582919
安田,36.522568,136.562057
安吉,36.487677,136.565588
八束穂,36.484329,136.574346
八ツ矢新,36.529198,136.570211
柳原,36.333738,136.577501
八幡,36.440945,136.641284
山島台,36.471387,136.580785
横江,36.543908,136.586166
横,36.524543,136.562097
吉田,36.476632,136.571461
吉野,36.357848,136.632265
四日市,36.522766,136.568368
四ツ屋,36.487371,136.542994
米永,36.509467,136.542752
米光,36.493819,136.513659
寄新保,36.478356,136.561699
若原,36.384891,136.593620
若宮,36.520688,136.574043
渡津,36.332108,136.611291
熱野,36.492827,136.611026
陽羽里,36.492511,136.614032
曽谷,36.486492,136.630159
八ツ矢,36.527094,136.571736
東三番,36.525831,136.568482
殿,36.525251,136.567555
古城,36.524583,136.566606
中,36.522731,136.564885
東新,36.523376,136.567632
八日市,36.522756,136.567275
西新,36.524866,136.564148
旭,36.527859,136.567925
相木,36.529788,136.561182
相木,36.532028,136.563618
菜の花,36.510191,136.581097
