name,latitude,longitude
石川県,金沢市
青草,36.571525,136.656136
相合谷,36.491987,136.707648
暁,36.562942,136.67224
赤土,36.583352,136.596634
浅丘,36.638379,136.740653
朝加屋,36.509489,136.724497
浅川,36.51673,136.705331
浅野本,36.586531,136.656886
朝日牧,36.615406,136.75819
旭,36.548614,136.686241
小豆沢,36.525827,136.732955
油車,36.557665,136.656653
天池,36.475802,136.711451
荒屋,36.615684,136.684239
荒屋,36.61465,136.685684
荒山,36.565563,136.784732
有松,36.542192,136.641574
粟崎浜,36.634391,136.613521
粟崎,36.620711,136.625269
池田町一番丁,36.557001,136.6546
池田町二番丁,36.557454,136.654416
池田町三番丁,36.558041,136.654297
池田町四番丁,36.557826,136.652999
池田町立丁,36.556636,136.653784
石黒,36.481248,136.782442
石引,36.554944,136.672214
泉,36.551171,136.643358
泉が丘,36.545713,136.646664
泉野出,36.54042,136.653298
泉野,36.546043,136.655426
泉本,36.546323,136.636604
出雲,36.575561,136.62565
磯部,36.596953,136.654629
板ケ谷,36.489608,136.781568
市瀬,36.576181,136.772333
糸田,36.557883,136.626874
糸田新,36.557235,136.628944
糸田,36.557863,136.628403
いなほ,36.552466,136.583532
茨木,36.557636,136.657778
今泉,36.618616,136.766191
今昭,36.60992,136.664577
今,36.631467,136.705151
入江,36.566094,136.630306
岩出,36.613637,136.702502
上野本,36.542475,136.686198
上山,36.501628,136.759673
魚帰,36.514975,136.780576
鶯,36.573311,136.669839
卯辰,36.573478,136.673544
打尾,36.522995,136.721332
打木,36.567622,136.56658
畝田中,36.593064,136.611732
畝田東,36.591855,136.615923
畝田,36.593108,136.605713
梅沢,36.583501,136.654584
梅田,36.624039,136.708246
鱗,36.556353,136.656915
上平,36.628356,136.777921
永安,36.524095,136.68865
駅西新,36.590549,136.639742
駅西本,36.580048,136.639859
枝,36.554315,136.65631
榎尾,36.633317,136.748095
円光寺,36.532428,136.650819
円光寺本,36.533019,136.642729
円光寺,36.530681,136.65342
小池,36.611054,136.745093
扇,36.561793,136.66994
大浦,36.620032,136.654227
大桑,36.532246,136.677224
大桑新,36.540123,136.677911
大桑,36.528253,136.685627
大手,36.568584,136.662525
大額,36.514418,136.619876
大額,36.501192,136.639714
大野,36.611115,136.603486
大野町新,36.628821,136.60819
大場,36.627434,136.676729
大樋,36.586217,136.676331
大平沢,36.465975,136.686759
沖,36.591474,136.654996
奥新保,36.55746,136.798811
大河端,36.616981,136.641193
押野,36.547616,136.620174
鴛原,36.483779,136.717117
乙丸,36.587218,136.663967
小原,36.484657,136.677367
大菱池,36.525312,136.77979
尾山,36.567412,136.655532
折谷,36.509715,136.762381
尾張,36.570609,136.661346
加賀朝日,36.622133,136.755595
蚊爪,36.628065,136.64548
柿木畠,36.56028,136.65608
角間新,36.554398,136.699336
角間,36.545948,136.709447
笠市,36.578043,136.655061
笠舞,36.547812,136.674375
笠舞本,36.546295,136.672872
笠舞,36.548892,136.675319
樫見,36.484951,136.705672
主計,36.572339,136.663591
春日,36.58307,136.673329
堅田,36.609517,136.70329
かたつ,36.629898,136.642602
片,36.559958,136.653255
金市,36.610059,136.681491
金石相生,36.61379,136.600132
金石海原,36.611104,136.591778
金石西,36.599782,136.591011
金石本,36.598644,136.594918
金川,36.521761,136.717167
上荒屋,36.546989,136.592866
上近江,36.571061,136.657264
上柿木畠,36.559284,136.656855
上辰巳,36.504539,136.709625
上堤,36.568831,136.654472
上中,36.5203,136.704015
神野,36.565674,136.598155
神野,36.563293,136.597875
上安原,36.565915,136.590747
上安原,36.562568,136.589432
神谷内,36.591985,136.695552
上若松,36.551267,136.691758
上涌波,36.584637,136.724208
川岸,36.553945,136.655337
河原市,36.604878,136.708254
神田,36.561499,136.636921
神田,36.559864,136.631322
観音堂,36.590257,136.600734
観音,36.570687,136.670282
上原,36.48213,136.74699
観法寺,36.618995,136.704434
菊川,36.550457,136.663251
菊水,36.415553,136.69342
木倉,36.561692,136.651866
木越,36.620441,136.669216
木越,36.619927,136.661598
岸川,36.639724,136.711654
北方,36.584123,136.764591
北千石,36.629289,136.767992
北塚,36.571906,136.596448
北寺,36.612411,136.648244
北袋,36.505505,136.749145
北,36.58252,136.627791
北間,36.623901,136.638301
北森本,36.624813,136.697009
北安江,36.582364,136.649562
北安江,36.577115,136.647052
木ノ新保,36.578255,136.648585
