name,latitude,longitude
石川県,能美市
秋常,36.446746,136.515168
莇生,36.446158,136.575532
荒屋,36.443572,136.524959
石子,36.43854,136.509989
泉台,36.430879,136.522308
岩内,36.446794,136.56693
岩本,36.446445,136.613304
牛島,36.427036,136.498353
大長野,36.428414,136.487072
大浜,36.457097,136.458272
上開発,36.448042,136.53904
上清水,36.457398,136.525704
北市,36.45419,136.532211
倉重,36.452717,136.542526
高座,36.445532,136.520109
五間堂,36.443487,136.483898
小杉,36.420148,136.485813
小長野,36.43287,136.489425
金剛寺,36.427725,136.57219
佐野,36.428128,136.508789
三道山,36.447445,136.505615
下開発,36.445047,136.531251
下清水,36.461001,136.516635
下ノ江,36.440049,136.457107
新保,36.454273,136.515354
末信,36.434239,136.500469
大成,36.450356,136.462113
高坂,36.438088,136.449624
舘,36.425488,136.55865
辰口,36.444967,136.5476
坪野,36.425183,136.590829
出口,36.457734,136.540517
寺井,36.441257,136.497663
寺畠,36.419981,136.550854
道林,36.441682,136.444058
徳山,36.433951,136.547876
徳久,36.4492,136.52749
中ノ江,36.440038,136.467571
中庄,36.447341,136.479882
中,36.451764,136.452464
鍋谷,36.407536,136.585666
西旭台,36.440676,136.565254
西任田,36.449615,136.487715
西二口,36.445015,136.47081
根上,36.436699,136.44491
能美,36.454959,136.491529
浜開発,36.445267,136.461864
浜,36.447341,136.45102
東任田,36.449615,136.493776
火釜,36.453509,136.56106
福岡,36.451033,136.475345
福島,36.458137,136.470691
仏大寺,36.403681,136.561355
松が岡,36.440297,136.528897
末寺,36.44707,136.509471
三ツ口,36.456687,136.577083
三ツ屋,36.453064,136.549957
緑が丘,36.43822,136.534539
緑が丘十,36.440499,136.533328
山口,36.433409,136.435082
山田,36.458158,136.552611
湯谷,36.437863,136.518284
湯屋,36.440594,136.554788
吉原釜屋,36.466345,136.466236
吉原,36.463772,136.479008
吉光,36.449131,136.498727
来丸,36.444087,136.55965
和気,36.422006,136.539941
和光台,36.425484,136.544521
和佐谷,36.424794,136.616934
和田,36.442074,136.506856
旭台,36.448259,136.58488
長滝,36.442083,136.581792
宮竹,36.45249,136.589526
灯台笹,36.447625,136.6014
旭台,36.441906,136.598053
大口,36.429828,136.605296
粟生,36.458758,136.502899
赤井,36.457143,136.486229
