name,latitude,longitude
岩手県,八幡平市
相沢,40.119321,140.940422
藍野々道ノ上,40.149801,140.944767
藍野々道ノ下,40.149447,140.955015
愛の山,40.143680,140.947649
赤子平,40.114562,141.061823
赤坂田,40.055377,140.970924
足深,40.142200,140.956006
安代寺田,40.124486,141.080545
安代寄木,40.048312,141.011133
安比高原,40.004766,140.978292
兄川,40.100160,140.890605
兄畑中川原,40.116536,140.877143
荒木田,39.990307,141.074242
荒屋新,40.096301,141.040457
家ノ裏,40.143059,140.954144
石神,40.116739,141.085501
石名坂,40.140466,140.943772
石名坂下タ,40.138339,140.945888
石森,40.147814,140.967808
五日市,40.120794,141.053856
岩木向,40.127515,141.093982
岩屋,40.136096,141.073868
上の山,40.113222,141.043910
丑山,40.121224,140.957030
丑山口,40.134111,140.956080
打田内,40.108182,141.027193
鵜谷地,40.135822,140.957249
姥子石,40.135558,140.964238
馬揚沢,40.160699,140.975771
扇畑,40.045407,141.034801
大沢,40.168084,140.992136
大沢田,40.145120,140.973059
大面平,40.133946,140.968624
大更,39.911413,141.125139
大又沢口,40.128253,140.874795
沖田表,40.136505,140.951720
沖ノ平,40.116714,140.883534
折壁,40.141401,140.937826
柿本,40.138583,140.954647
欠田,40.137798,140.951091
柏台,39.920554,140.978817
帷子,39.982790,141.130044
叺田,40.100157,141.057178
上岩木,40.132987,141.092965
上藤,40.125867,141.087520
川原,40.112784,141.057770
切通,40.159907,140.941138
久保田,40.124626,141.088945
栗木田,40.164766,140.952076
黒沢,40.047374,140.991378
越戸,40.131548,141.000635
小原道ノ下,40.158556,140.929177
小森,40.144320,140.957901
小柳田,40.104372,141.059837
小屋畑,40.082212,141.008639
作平,40.093517,140.878457
佐比内,40.122863,140.908241
沢口,40.146838,140.955950
地蔵田,40.140333,140.957549
下タ川原,40.156057,140.943188
下,40.131864,141.056349
清水,40.104255,141.047077
下岩木,40.134992,141.100430
下の田,40.129345,141.096466
蛇石,40.134711,140.929235
勝善川原,40.159708,140.946024
白沢口,40.119641,140.903214
新田,40.059377,141.025009
杉沢,40.152206,140.986733
雀長根,40.156473,140.936591
関沢口,40.117351,141.096468
瀬ノ沢,40.172386,140.921463
平舘,39.964679,141.079413
高畑,40.069717,141.061296
滝沢,40.134540,141.028674
田沢,40.128493,140.967650
田の沢,40.141728,141.037048
田山,40.144204,140.955505
長者前,40.168924,140.972452
土沢,40.131446,141.102978
繋沢,40.107963,141.081012
寺志田,40.088894,141.042352
田頭,39.914455,141.076563
戸鎖,40.135259,140.917057
戸沢,40.148028,141.017550
殿坂下,40.137608,140.956973
中佐井,40.118071,141.098092
長坂,40.125751,140.919812
長志田,40.177217,140.980150
中島,40.113807,140.883297
中田,40.126851,141.091304
中ノ平,40.124503,140.898673
苗代沢,40.140617,140.982619
西根寺田,40.027073,141.116405
根石,40.178888,140.963001
野駄,39.943154,141.037939
花舘,40.139595,140.962184
馬場下タ,40.141388,140.958983
晴山,40.120414,141.071493
日影,40.114855,141.068799
日泥道ノ上,40.150872,140.936401
平笠,39.889655,141.055166
比路平,40.160611,140.936163
古屋敷,40.096588,141.090980
星沢,40.027804,140.991814
細野,40.019699,140.968161
保戸坂,40.076648,141.019973
堀切,39.951480,141.112811
袰部,40.036853,140.866260
前田,40.122525,141.083516
曲田,40.112831,141.027349
亦戸川原,40.137893,140.948560
松尾,39.970821,141.044680
松木田,40.066967,141.002053
松原,40.109998,141.060196
緑ガ丘,39.948710,140.930455
目名市,40.129943,141.036964
矢神,40.129287,140.942737
谷地田,40.119104,141.041659
谷地中,40.133372,140.983661
山岸,40.117647,141.107163
山口,40.120295,141.078545
湯の沢,40.104704,141.069304
上関,39.967458,141.101136
和屋敷道ノ上,40.146530,140.939534
日泥道ノ下,40.150624,140.934268
和屋敷道ノ下,40.143620,140.934488
大多利沢口,40.147710,140.932703
二タ子,40.143034,140.927073
小原道ノ上,40.159157,140.924036
松尾寄木,39.918626,141.013448
小岩井,40.118267,140.892551
舘市,40.110661,140.895316
赤平,40.118224,140.899282
田中下タ,40.141196,140.953731
下モ川原,40.140293,140.951405
平又,40.166861,140.959399
左妻,40.150262,140.957595
不動川原,40.162782,140.962418
小峠,40.159031,140.955689
