name,latitude,longitude
岩手県,花巻市
浅沢,39.405529,141.114177
東,39.384386,141.121362
愛宕沢,39.396994,141.10962
愛宕,39.395458,141.112507
石神,39.38127,141.103056
石鳥谷町猪鼻,39.446107,141.184233
石鳥谷町江曽,39.449305,141.142246
石鳥谷町大瀬川,39.511373,141.065814
石鳥谷町上口,39.50078,141.158557
石鳥谷町北寺林,39.487673,141.13232
石鳥谷町黒沼,39.452506,141.148441
石鳥谷町好地,39.498992,141.149651
石鳥谷町五大堂,39.435105,141.192282
石鳥谷町小森林,39.453176,141.134072
石鳥谷町松林寺,39.476497,141.096683
石鳥谷町関口,39.456689,141.166979
石鳥谷町大興寺,39.478921,141.113132
石鳥谷町滝田,39.454071,141.202411
石鳥谷町戸塚,39.468626,141.185391
石鳥谷町富沢,39.490189,141.101191
石鳥谷町中寺林,39.475056,141.136763
石鳥谷町新堀,39.484807,141.179195
石鳥谷町西中島,39.459154,141.145728
石鳥谷町長谷堂,39.485897,141.094803
石鳥谷町八幡,39.472799,141.151275
石鳥谷町東中島,39.44032,141.1723
石鳥谷町南寺林,39.458085,141.127094
石鳥谷町八重畑,39.441636,141.157173
一本杉,39.405067,141.084474
円万寺,39.393661,141.054953
狼沢,39.430281,141.098307
太田,39.37487,141.043181
大通り,39.391508,141.112487
大迫町内川目,39.519105,141.347672
大迫町大迫,39.472184,141.285969
大迫町亀ケ森,39.474514,141.24463
大迫町外川目,39.448303,141.333911
大畑,39.449869,141.105133
大谷地,39.36643,141.098138
御田屋,39.386447,141.123523
卸,39.445431,141.11161
鍛治,39.384741,141.112993
花城,39.389223,141.117314
金矢,39.433002,141.06466
上北,39.396965,141.077949
上小舟渡,39.396032,141.123965
上諏訪,39.373671,141.109222
上,39.386128,141.118681
上似内,39.409094,141.147359
上根子,39.383733,141.067751
北笹間,39.352418,141.05741
北湯口,39.461377,141.094873
空港南,39.415935,141.137457
葛,39.430032,141.146882
下シ沢,39.446407,141.000676
椚ノ目,39.424075,141.0908
幸田,39.40134,141.202618
胡四王,39.408136,141.171088
小瀬川,39.445512,141.035053
材木,39.387796,141.10955
坂本,39.392461,141.115906
桜木,39.383437,141.111569
桜台,39.397774,141.107914
桜,39.376689,141.117077
里川口,39.388044,141.126838
下幅,39.400172,141.112885
実相寺,39.368537,141.112552
下北,39.394178,141.099889
下小舟渡,39.392871,141.123253
下似内,39.404879,141.131806
下根子,39.3619,141.098688
十,39.358268,141.122331
城内,39.390048,141.121765
尻平川,39.362213,140.970105
新田,39.400657,141.080669
末広,39.386634,141.112875
諏訪,39.370157,141.107181
諏訪,39.375611,141.1132
台,39.448854,141.065378
高木,39.385807,141.141662
高田,39.382372,141.125745
高松,39.380773,141.181148
田力,39.417698,141.15277
天下田,39.413036,141.103768
東和町安俵,39.377018,141.215544
東和町砂子,39.332279,141.269613
東和町石鳩岡,39.419517,141.275964
東和町石持,39.331778,141.194239
東和町落合,39.365137,141.229338
東和町小友,39.359461,141.267533
東和町小原,39.335556,141.243483
東和町上浮田,39.320519,141.211308
東和町北小山田,39.42936,141.208683
東和町北川目,39.419032,141.246324
東和町北成島,39.365305,141.19656
東和町北前田,39.442996,141.251742
東和町倉沢,39.322319,141.254822
東和町小通,39.359753,141.22414
東和町駒籠,39.320181,141.226178
東和町下浮田,39.325624,141.233887
東和町新地,39.395085,141.255603
東和町外谷地,39.417902,141.204289
東和町鷹巣堂,39.351814,141.259993
東和町田瀬,39.294719,141.314451
東和町舘迫,39.362722,141.248087
東和町谷内,39.345325,141.278983
東和町土沢,39.384291,141.239502
東和町毒沢,39.348864,141.241049
東和町中内,39.340228,141.208325
東和町東晴山,39.377732,141.260774
東和町前田,39.418492,141.221491
東和町町井,39.370678,141.241379
東和町南川目,39.405237,141.250591
東和町南成島,39.355002,141.201004
東和町宮田,39.322345,141.190417
東和町百ノ沢,39.400673,141.228187
外台,39.371168999999995,141.126051
外台川原,39.368989,141.128405
栃内,39.351582,141.02333
轟木,39.360507,141.038825
豊沢,39.49212,140.959649
豊沢,39.383092,141.11919
中北,39.394163,141.090569
中笹間,39.34666,141.048642
中根子,39.3757,141.093064
仲,39.387706,141.119842
鍋倉,39.412972,141.065705
鉛,39.468505,140.992819
成田,39.354776,141.132381
南城,39.368483,141.119392
西大通り,39.393227,141.107955
西晴山,39.388881,141.044919
西宮野目,39.423513,141.116439
二枚橋,39.441036,141.1153
二枚橋町大通り,39.442416,141.129798
二枚橋町南,39.43984,141.130527
糠塚,39.465752,141.113759
野田,39.39934,141.094903
東十,39.366415,141.147747
東宮野目,39.413666,141.129417
膝立,39.402557,141.060382
一日市,39.394309,141.115447
藤沢,39.38361,141.106971
双葉,39.384782,141.117151
吹張,39.38754,141.114956
不動,39.377785,141.108908
不動,39.378526,141.112275
星が丘,39.402819,141.10573
松園,39.409665,141.098434
南川原,39.383077,141.114494
南笹間,39.333682,141.053674
南新田,39.403348,141.09557
南諏訪,39.368388,141.102569
南,39.387522,141.088029
本館,39.411094,141.116253
矢沢,39.409222,141.185245
山の神,39.361203,141.112151
湯口,39.413521,141.022193
湯本,39.442898,141.083865
横志田,39.364052,141.002253
四日,39.397011,141.11533
若葉,39.390828,141.103244
