name,latitude,longitude
岩手県,宮古市
赤前,39.584141,141.971273
愛宕,39.644274,141.960963
新,39.642883,141.952793
泉,39.644405,141.937767
板屋,39.634090,141.917870
江繋,39.538554,141.642287
大通,39.641482,141.952197
小国,39.489097,141.657375
音部,39.591515,142.002746
重茂,39.545131,142.014260
片巣,39.599569,141.637676
門馬,39.612931,141.483878
河南,39.620509,141.951643
金浜,39.595665,141.939363
鴨崎,39.643741,141.941714
刈屋,39.663125,141.724884
川井,39.584256,141.667468
川内,39.643110,141.582794
神田沢,39.635919,141.918574
上鼻,39.632744,141.910718
神林,39.619258,141.963526
区界第一地割,39.645709,141.356334
区界第二地割,39.657530,141.376641
区界第三地割,39.634041,141.430135
区界第四地割,39.640752,141.429189
黒田,39.642966,141.950666
黒森,39.651562,141.940442
鍬ヶ崎,39.656243,141.968127
花原市,39.637434,141.858398
小沢,39.648285,141.951202
小山田,39.628721,141.935580
栄,39.641343,141.945264
崎鍬ヶ崎,39.669380,141.958240
崎山,39.690982,141.938980
五月,39.647551,141.946092
佐原,39.654407,141.961223
沢田,39.646306,141.956140
白浜,39.608087,141.990300
新川,39.641420,141.956194
末広,39.641864,141.949055
鈴久名,39.612031,141.590463
千徳,39.649141,141.881081
千徳,39.636335,141.922952
磯鶏,39.629110,141.952304
磯鶏石崎,39.631553,141.962512
磯鶏沖,39.628521,141.962583
高浜,39.607428,141.946090
田鎖,39.623640,141.897746
田代,39.706493,141.851492
舘合,39.641612,141.940039
田の神,39.646970,141.939533
津軽石,39.567345,141.931498
築地,39.643295,141.958122
中里団地,39.647312,141.960575
長沢,39.575910,141.840948
長根,39.642429,141.934081
長,39.636825,141.928491
夏屋,39.669504,141.613143
西ヶ丘,39.640875,141.912115
西,39.645713,141.944165
根市,39.637830,141.883282
箱石,39.611142,141.642496
花輪,39.601158,141.909063
腹帯,39.580086,141.768899
日影,39.649730,141.960720
蟇目,39.649308,141.822259
日の出,39.651373,141.953929
平津戸,39.627785,141.515352
藤の川,39.614095,141.958981
藤原,39.638578,141.958623
藤原上,39.634732,141.956817
古田,39.588482,141.728669
保久田,39.643675,141.947914
松山,39.619592,141.914840
実田,39.625574,141.958106
緑ヶ丘,39.646010,141.947508
南,39.637877,141.950647
宮古,39.635826,141.950128
宮園,39.664971,141.933623
宮,39.639412,141.946607
向,39.640485,141.954042
茂市,39.624010,141.791470
本,39.643284,141.956116
八木沢,39.606672,141.929301
山口,39.661837,141.939912
横,39.646142,141.952728
老木,39.615018,141.856830
和井内,39.714931,141.686769
和見,39.643586,141.945254
上村,39.627907,141.958597
田老三王,39.741738,141.980787
田老,39.739238,141.972475
近内,39.650021,141.912869
太田,39.640102,141.925084
光岸地,39.641163,141.964671
臨港通,39.640590,141.968241
鍬ヶ崎上,39.643307,141.966096
鍬ヶ崎仲,39.645536,141.965925
日立浜,39.647758,141.976106
港,39.646899,141.969267
山根,39.648523,141.970136
鍬ヶ崎下,39.647629,141.966742
蛸の浜,39.649622,141.968689
熊野,39.651770,141.964338
