name,latitude,longitude
岩手県,盛岡市
青山,39.721677,141.11318
浅岸,39.737119,141.279988
愛宕下,39.713089,141.161136
愛宕,39.709894,141.159483
安倍館,39.719547,141.125885
飯岡新田,39.665898,141.137034
砂子沢,39.597886,141.354936
猪去一本木,39.684935,141.075894
猪去大橋,39.683318,141.072521
猪去大道,39.681861,141.068749
猪去三枚橋,39.688983,141.065954
猪去外久保,39.687634,141.070611
猪去早俄上,39.689118,141.060752
猪去畑中,39.680579,141.066259
猪去藤松,39.684659,141.068221
猪去的場,39.68556,141.070708
猪去米倉,39.689993,141.070032
稲荷,39.709886,141.112861
岩清水,39.720807,141.161748
岩脇,39.744918,141.14539
上田,39.712485,141.144908
上田堤,39.730044,141.149385
内丸,39.701902,141.152504
大ケ生,39.613245,141.258942
大沢川原,39.699262,141.147112
大館,39.714566,141.11059
大通,39.702454,141.148611
乙部,39.61546,141.208087
開運橋通,39.701997,141.142841
加賀野,39.704826,141.182517
門,39.669513,141.180286
上太田穴口,39.690582,141.057125
上太田神子塚,39.697079,141.089585
上太田上瀬,39.692106,141.055702
上太田上ノ野,39.691312,141.089402
上太田上ノ畑,39.687628,141.09138
上太田上野屋敷,39.693786,141.096118
上太田犾森,39.690148,141.077689
上太田大堀,39.692231,141.071989
上太田金財,39.692667,141.090379
上太田上犾森,39.690532,141.07131
上太田上田中,39.694769,141.088349
上太田上吉本,39.689108,141.082357
上太田川後,39.698136,141.091693
上太田川原,39.701413,141.090292
上太田北田,39.696588,141.098956
上太田窪屋敷,39.688533,141.086626
上太田弘法清水,39.692613,141.093323
上太田三枚橋,39.692006,141.06424
上太田清水田,39.693795,141.089303
上太田下法丁,39.691794,141.094701
上太田下川戸,39.694887,141.085923
上太田下川原,39.703642,141.099403
上太田下中屋敷,39.701186,141.096092
上太田関端,39.688758,141.093372
上太田蔵戸,39.702475,141.101629
上太田蔵戸前,39.699835,141.102556
上太田舘,39.69496,141.094354
上太田田中,39.695078,141.090645
上太田田中留,39.69448,141.065812
上太田田屋,39.694996,141.084028
上太田樋ノ口,39.695524,141.076287
上太田中瀬,39.695943,141.063646
上太田中関,39.685399,141.089204
上太田中屋敷,39.692556,141.076581
上太田沼舘,39.696315,141.081542
上太田畑中,39.690275,141.095195
上太田半在家,39.698075,141.093839
上太田細田,39.69636,141.08736
