name,latitude,longitude
岩手県,滝沢市
穴口,39.743192,141.107387
一本木,39.833674,141.122386
岩手山,39.817803,141.068350
鵜飼安達,39.783579,141.007763
鵜飼石留,39.727357,141.097949
鵜飼姥屋敷,39.786033,141.017306
鵜飼大緩,39.735202,141.094428
鵜飼鬼越,39.766624,141.044482
鵜飼御庭田,39.732694,141.076167
鵜飼家近森,39.737524,141.074271
鵜飼鰍森,39.736633,141.073297
鵜飼上高柳,39.729408,141.090785
鵜飼上山,39.736732,141.066528
鵜飼上前田,39.740019,141.071222
鵜飼狐洞,39.737897,141.088119
鵜飼笹森,39.733338,141.091041
鵜飼清水沢,39.743423,141.071890
鵜飼下高柳,39.729046,141.094205
鵜飼下前田,39.723965,141.084837
鵜飼白石,39.741450,141.090057
鵜飼先古川,39.733603,141.081462
鵜飼外久保,39.743600,141.075401
鵜飼高坊,39.743037,141.062160
鵜飼高柳,39.725110,141.094641
鵜飼滝向,39.727822,141.077377
鵜飼田端,39.739091,141.072558
鵜飼樋の口,39.728004,141.084568
鵜飼洞畑,39.742992,141.081034
鵜飼年毛,39.727622,141.088202
鵜飼栃平,39.740534,141.064197
鵜飼沼森,39.777912,141.054838
鵜飼迫,39.738271,141.079398
鵜飼八人打,39.728476,141.081965
鵜飼花平,39.787053,141.039603
鵜飼細谷地,39.746358,141.084486
鵜飼向新田,39.735208,141.084447
鵜飼諸葛川,39.731998,141.097559
鵜飼臨安,39.796807,141.033875
後,39.839043,141.094179
卯遠坂,39.782234,141.108898
狼久保,39.786359,141.136561
大石渡,39.799119,141.095214
大釜荒屋敷,39.706381,141.068339
大釜上釜,39.705426,141.059690
大釜大清水,39.718344,141.027847
大釜大畑,39.705634,141.075025
大釜鬼が滝,39.697586,141.039104
大釜風林,39.708989,141.026687
大釜釜口,39.703454,141.054926
大釜上竹鼻,39.700501,141.067399
大釜小屋敷,39.702561,141.065404
大釜塩の森,39.696441,141.058629
大釜白山,39.709547,141.054667
大釜千が窪,39.710354,141.043674
大釜高森,39.703443,141.043150
大釜竹鼻,39.703062,141.073693
大釜田の尻,39.707927,141.068307
大釜土井尻,39.705119,141.069941
大釜外館,39.707861,141.072350
大釜中瀬,39.699703,141.072564
大釜中道,39.701136,141.054882
大釜仁沢瀬,39.699680,141.042338
大釜沼袋,39.693756,141.047244
大釜八幡前,39.702249,141.060647
大釜細屋,39.708171,141.064129
大釜吉清水,39.699308,141.052070
大釜吉水,39.698278,141.049861
大釜和田,39.705260,141.064375
大久保,39.743726,141.094531
大崎,39.811170,141.147649
大沢内木津沢,39.737023,141.056651
大沢大久保,39.730993,141.061919
大沢籠屋敷,39.724051,141.067550
大沢上鶴子,39.725076,141.070835
大沢熊が沢,39.731834,141.065870
大沢熊田,39.728006,141.068226
大沢小太郎山,39.735621,141.053063
大沢小谷地,39.716315,141.075392
大沢五郎沢,39.734604,141.059058
大沢鷺が沢,39.728223,141.066460
大沢篠平,39.734499,141.062236
大沢下屋敷,39.717748,141.077640
大沢神が窪,39.720685,141.063326
大沢新道,39.719593,141.079444
大沢堰合,39.721409,141.072645
大沢外木津沢,39.738496,141.056605
大沢高峯,39.739723,141.059466
大沢館,39.722122,141.064553
大沢茶臼玉,39.722403,141.061056
大沢堤平,39.727802,141.059693
大沢鶴子,39.722758,141.073324
大沢鳥谷平,39.725874,141.060602
大沢外山野,39.748323,141.040720
大沢鳥足形,39.732185,141.057423
大沢長坪,39.723732,141.076443
大沢野老平,39.730046,141.058104
大沢箸木平,39.725944,141.063871
大沢早坂,39.739035,141.051725
大沢火石,39.740710,141.054988
大沢二タ又,39.719145,141.071111
大沢ブナ平,39.726961,141.055788
大沢堀切,39.730011,141.053517
大沢舛村,39.718354,141.076664
大沢水穴沢,39.744256,141.051623
大沢弥作畑,39.748113,141.049079
大沢谷地上,39.724725,141.074498
大沢谷地中,39.717619,141.073495
大沢湯の沢,39.732921,141.054289
大沢四つ谷,39.716154,141.076768
大沢米倉,39.717242,141.075820
大沢若松,39.727850,141.064081
大沢割田,39.721491,141.068458
大森平,39.830945,141.103417
加賀内,39.821276,141.112087
上岩手山,39.818340,141.038031
上鵜飼,39.749032,141.061170
上中村,39.791924,141.113056
黒沢,39.755764,141.066681
篠木綾織,39.714865,141.072942
篠木荒屋,39.714221,141.064301
篠木大寺沢,39.714130,141.055626
篠木苧桶沢,39.737349,141.038106
篠木上綾織,39.716372,141.068709
篠木上篠木,39.717961,141.063107
篠木上中村,39.721284,141.041968
篠木草井沢,39.724435,141.053811
篠木黒畑,39.707601,141.076034
篠木小谷地,39.713291,141.076108
篠木参郷,39.711179,141.069063
篠木参郷の森,39.712024,141.065283
篠木外山,39.726749,141.044432
篠木館が沢,39.716475,141.057462
篠木中将,39.718942,141.046759
篠木堤,39.710426,141.064070
篠木堤平,39.719792,141.057007
篠木寺沢,39.712541,141.059838
篠木砥石沢,39.718563,141.052024
篠木樋の口,39.711522,141.076900
篠木鳥谷平,39.716487,141.062086
篠木長沢,39.731938,141.041552
篠木中鼻,39.715493,141.059156
篠木中村,39.717697,141.068310
篠木中屋敷,39.714232,141.067614
篠木仁沢瀬,39.729939,141.021593
篠木一つ森,39.721233,141.052026
篠木宝竜平,39.722675,141.058415
篠木待場,39.708225,141.077910
篠木水上沢,39.715806,141.053214
篠木明法,39.712342,141.072795
篠木矢取森,39.746710,141.028272
下鵜飼,39.731793,141.078399
新田,39.775103,141.161082
巣子,39.774961,141.126215
砂込,39.815255,141.127330
外山,39.762629,141.087554
高屋敷,39.749630,141.084728
高屋敷平,39.747504,141.094969
長太郎林,39.825445,141.106976
土沢,39.750077,141.099047
木賊川,39.775339,141.112855
留が森,39.838689,141.119183
中鵜飼,39.735422,141.076272
中村,39.757889,141.098253
楢の木沢,39.782792,141.160908
祢宜屋敷,39.762464,141.099207
根堀坂,39.763536,141.104101
野沢,39.792869,141.153990
葉の木沢山,39.775802,141.140695
平蔵沢,39.762215,141.073222
牧野林,39.756151,141.106986
末代窪,39.776488,141.160218
松屋敷,39.770874,141.156434
耳取山,39.745330,141.099193
明神平,39.770119,141.131442
室小路,39.738025,141.098816
柳沢,39.811514,141.092543
柳原,39.829621,141.107792
簗平,39.800465,141.162553
弥兵エ林,39.825382,141.114766
湯舟沢,39.780427,141.091284
妻の神,39.776107,141.151474
