name,latitude,longitude
岩手県,紫波郡矢巾町
間野々,39.593781,141.170698
赤林,39.638578,141.135222
岩清水,39.587325,141.105990
太田,39.581059,141.132814
上矢次,39.621106,141.134661
北郡山,39.590542,141.156496
北伝法寺,39.599491,141.125614
北矢幅,39.618427,141.150585
煙山,39.611933,141.120124
高水寺,39.581497,141.172536
下矢次,39.624292,141.151951
白沢,39.595644,141.144635
高田,39.625325,141.169970
土橋,39.590088,141.183445
西徳田,39.609309,141.180612
東徳田,39.604106,141.174870
広宮沢,39.629500,141.110528
藤沢,39.616542,141.172393
又兵エ新田,39.614170,141.147723
南矢幅,39.607995,141.145823
室岡,39.594740,141.120550
和味,39.603667,141.095244
流通センター南,39.639322,141.112166
医大通,39.610893,141.162928
駅東,39.612480,141.149998
