name,latitude,longitude
香川県,さぬき市
大川町田面,34.239052,134.259397
大川町富田中,34.264825,134.239120
大川町富田東,34.265347,134.260856
大川町南川,34.234253,134.232213
小田,34.346388,134.250779
鴨部,34.311285,134.221889
鴨庄,34.343445,134.209987
寒川町石田東,34.236643,134.215596
寒川町神前,34.286467,134.216946
志度,34.315781,134.178627
昭和,34.291105,134.162601
末,34.305183,134.194706
造田乙井,34.288354,134.196873
造田是弘,34.286800,134.184907
造田野間田,34.277593,134.190583
造田宮西,34.291744,134.175189
多和,34.185501,134.188697
津田町津田,34.305970,134.240484
津田町鶴羽,34.276535,134.268450
長尾東,34.252587,134.188389
長尾名,34.245078,134.182232
前山,34.217888,134.187181
