let,num
茜,1
朝,2
日,4
新,10
庵,1
治,1
飯,1
田,16
生,2
島,7
井,7
口,2
池,2
一,3
宮,3
今,2
里,1
植,3
松,6
内,6
円,1
座,1
扇,1
太,3
上,13
下,10
岡,5
本,4
男,1
木,3
小,1
村,2
香,20
川,18
町,37
浅,1
野,3
大,3
原,11
東,15
寺,7
谷,2
安,7
第,5
号,5
三,5
鍛,1
冶,1
屋,8
春,2
片,1
鹿,1
角,1
天,2
神,3
之,1
林,3
福,5
紙,2
亀,6
南,9
部,1
瓦,1
観,2
光,3
通,2
北,3
浜,3
鬼,7
無,7
是,1
竹,1
佐,3
藤,3
料,1
山,7
楠,1
西,21
郷,1
庄,1
由,2
横,1
吉,1
国,6
分,6
柏,1
名,2
居,1
家,1
寿,1
御,2
坊,1
紺,1
宝,1
幸,1
桜,1
条,2
サ,1
ン,1
ポ,1
ー,1
ト,1
紫,1
雲,1
塩,10
江,8
乙,1
甲,1
二,1
出,1
作,1
城,1
昭,1
和,1
在,1
窪,1
末,1
広,1
菅,1
沢,1
瀬,1
戸,1
十,2
工,1
多,3
賀,1
高,1
肥,2
玉,1
藻,1
水,1
檀,1
中,6
央,1
勅,1
使,1
築,1
地,1
鶴,2
市,1
前,3
磨,1
常,1
磐,1
間,2
成,1
合,1
錦,1
の,2
丸,3
ハ,2
ゼ,2
崎,2
旅,1
篭,1
花,2
園,1
ノ,2
番,1
百,1
兵,1
庫,1
塚,1
伏,1
石,1
仏,1
古,2
馬,1
場,1
並,1
縄,1
峰,1
厩,1
脇,1
牟,4
礼,4
室,2
女,1
元,1
八,1
坂,1
良,1
栗,1
六,1
