name,latitude,longitude
香川県,綾歌郡宇多津町
東分,34.291983,133.834634
浜一番丁,34.312527,133.809319
浜二番丁,34.307522,133.809049
浜三番丁,34.314458,133.815676
浜四番丁,34.311853,133.815952
浜五番丁,34.305637,133.811694
浜六番丁,34.304849,133.815097
浜七番丁,34.311196,133.818541
浜八番丁,34.309809,133.820527
浜九番丁,34.312904,133.822912
浜一番,34.312527,133.809319
浜二番,34.307522,133.809049
浜三番,34.314458,133.815676
浜四番,34.311853,133.815952
浜五番,34.305637,133.811694
浜六番,34.304849,133.815097
浜七番,34.311196,133.818541
浜八番,34.309809,133.820527
浜九番,34.312904,133.822912
