name,latitude,longitude
鹿児島県,姶良市
池島,31.717551,130.614762
大山,31.765215,130.626532
加治木町朝日,31.734945,130.668879
加治木町仮屋,31.741170,130.664827
加治木町木田,31.740010,130.645416
加治木町錦江,31.735334,130.661147
加治木町小山田,31.776970,130.677560
加治木町新生,31.739198,130.655412
加治木町新富,31.741435,130.669180
加治木町諏訪,31.737656,130.669699
加治木町反土,31.741457,130.659847
加治木町西別府,31.788185,130.640065
加治木町日木山,31.745601,130.677473
加治木町辺川,31.791633,130.655472
加治木町港,31.731935,130.664407
加治木町本,31.737402,130.664589
上名,31.808459,130.624599
蒲生町漆,31.832088,130.549712
蒲生町上久徳,31.766546,130.578594
蒲生町北,31.777521,130.547721
蒲生町下久徳,31.751609,130.585811
蒲生町白男,31.760454,130.510485
蒲生町西浦,31.809056,130.537748
蒲生町久末,31.754698,130.540992
蒲生町米丸,31.787738,130.570608
北山,31.838625,130.603191
木津志,31.822693,130.582699
三拾,31.750483,130.621851
下名,31.768008,130.613033
住吉,31.765586,130.592304
寺師,31.779134,130.594723
豊留,31.755060,130.613662
永池,31.716028,130.611850
永瀬,31.757379,130.597611
中津野,31.751901,130.609264
鍋倉,31.748078,130.632447
西姶良,31.729201,130.604102
西宮島,31.725194,130.621419
西餅田,31.727597,130.617151
東餅田,31.726143,130.635031
平松,31.713483,130.588212
深水,31.758644,130.619428
船津,31.743272,130.602235
増田,31.754602,130.603037
松原,31.719189,130.630440
宮島,31.726787,130.626620
脇元,31.693821,130.610326
