name,latitude,longitude
鹿児島県,霧島市
霧島大窪,31.824185,130.859499
霧島川北,31.826365,130.823898
霧島田口,31.877493,130.870356
霧島永水,31.797019,130.838565
国分上之段,31.692717,130.833946
国分上野原縄文の森,31.712336,130.802038
国分上野原テクノパーク,31.713352,130.796087
国分上井,31.726872,130.794270
国分上小川,31.737693,130.786041
国分川内,31.717148,130.833104
国分川原,31.745281,130.826462
国分清水,31.751420,130.787804
国分剣之宇都,31.769955,130.767655
国分郡田,31.770219,130.852517
国分敷根,31.700973,130.801995
国分重久,31.779921,130.798171
国分下井,31.702022,130.848587
国分城山,31.744062,130.776599
国分新,31.758631,130.775663
国分台明寺,31.769870,130.810753
国分中央,31.744070,130.769426
国分名波,31.734609,130.779902
国分野口,31.737026,130.747416
国分野口,31.735407,130.749875
国分野口東,31.738159,130.756262
国分姫城,31.761030,130.768463
国分広瀬,31.712142,130.753255
国分福島,31.722414,130.763155
国分府中,31.745171,130.751784
国分府中,31.745612,130.759160
国分松木,31.733614,130.757373
国分松木,31.732319,130.751961
国分湊,31.715607,130.774643
国分向花,31.761020,130.776385
国分向花,31.747625,130.763949
国分山下,31.727917,130.779058
隼人町朝日,31.753254,130.720500
隼人町内,31.757959,130.745124
隼人町内山田,31.748004,130.727457
隼人町小田,31.744766,130.717336
隼人町小浜,31.739895,130.690827
隼人町嘉例川,31.817535,130.732746
隼人町西光寺,31.776667,130.736911
隼人町神宮,31.749578,130.740979
隼人町真孝,31.726920,130.725669
隼人町住吉,31.720044,130.739367
隼人町東郷,31.769296,130.746798
隼人町野久美田,31.737648,130.706112
隼人町姫城,31.761981,130.761192
隼人町松永,31.790470,130.764775
隼人町見次,31.741079,130.741094
福山町佳例川,31.698529,130.880736
福山町福沢,31.639103,130.872260
福山町福山,31.656927,130.844060
牧園町上中津川,31.848013,130.785460
牧園町三体堂,31.894761,130.790630
牧園町下中津川,31.823350,130.776631
牧園町宿窪田,31.843349,130.751471
牧園町高千穂,31.897210,130.830875
牧園町万膳,31.909125,130.764847
牧園町持松,31.842120,130.815825
溝辺町有川,31.822476,130.663257
溝辺町崎森,31.777030,130.704297
溝辺町麓,31.806222,130.701763
溝辺町三縄,31.850300,130.693647
横川町中ノ,31.898146,130.709349
横川町上ノ,31.894341,130.653910
横川町下ノ,31.859797,130.715132
溝辺町竹子,31.861778,130.652742
