name,latitude,longitude
鹿児島県,南さつま市
大浦,31.367495,130.235874
笠沙町赤生木,31.386372,130.180868
笠沙町片浦,31.416557,130.158871
加世田内山田,31.368370,130.319162
加世田川畑,31.404166,130.341163
加世田小湊,31.409890,130.264885
加世田地頭所,31.423933,130.318270
加世田地頭所,31.424854,130.323126
加世田白亀,31.414343,130.312248
加世田高橋,31.437937,130.290042
加世田武田,31.398332,130.290432
加世田津貫,31.347491,130.280172
加世田唐仁原,31.419424,130.305149
加世田ハーモニー,31.404226,130.323677
加世田東本,31.418327,130.327053
加世田麓,31.413560,130.321544
加世田本,31.418750,130.321440
加世田益山,31.435922,130.319684
加世田宮原,31.428589,130.309368
加世田村原,31.429479,130.333298
金峰町池辺,31.469437,130.327374
金峰町浦之名,31.447421,130.373381
金峰町大野,31.479269,130.328972
金峰町尾下,31.460281,130.354349
金峰町白川,31.426631,130.372474
金峰町大坂,31.465537,130.401956
金峰町高橋,31.457049,130.310716
金峰町中津野,31.446327,130.353445
金峰町新山,31.438512,130.351084
金峰町花瀬,31.422540,130.340524
金峰町宮崎,31.440024,130.329207
坊津町秋目,31.358523,130.194610
坊津町久志,31.312839,130.233074
坊津町泊,31.288925,130.243193
坊津町坊,31.262912,130.241571
