let,num
青,2
山,3
天,1
辰,1
入,2
来,2
町,29
浦,4
之,5
名,1
副,1
田,14
運,1
動,1
公,1
園,1
網,1
津,1
大,3
小,4
路,2
尾,1
白,3
江,3
鹿,1
島,3
藺,2
牟,2
勝,1
目,1
上,11
甑,13
石,1
桑,1
瀬,4
平,3
良,2
中,6
野,7
川,3
内,2
永,2
神,1
久,2
住,1
楠,1
元,1
隈,1
城,3
見,1
崎,3
祁,4
答,4
院,4
手,3
黒,1
木,3
下,7
国,1
分,1
寺,1
倉,3
五,1
代,1
場,2
茶,1
屋,1
御,1
陵,1
里,3
片,1
々,1
打,1
長,1
浜,2
和,1
王,1
海,1
高,2
郷,8
東,9
斧,1
渕,1
宍,1
鳥,2
丸,1
南,1
藤,1
追,1
利,1
福,1
村,1
西,3
開,2
聞,2
方,1
向,4
花,1
原,2
冷,1
水,2
佐,2
樋,3
脇,3
市,1
比,1
塔,1
引,1
港,1
宮,3
都,1
本,1
百,1
次,1
矢,1
口,1
湯,2
陽,1
成,1
横,1
馬,1
寄,1
若,2
葉,1
松,1
