name,latitude,longitude
鹿児島県,大島郡和泊町
畦布,27.404051,128.633885
伊延,27.411222,128.642866
内城,27.384558,128.611980
大城,27.378470,128.623359
喜美留,27.410494,128.665686
国頭,27.427875,128.688815
後蘭,27.381543,128.593104
瀬名,27.397502,128.604153
谷山,27.384374,128.582731
玉城,27.384118,128.632826
出花,27.416040,128.655107
手々知名,27.402099,128.656713
永嶺,27.392933,128.592894
仁志,27.395849,128.582427
西原,27.421184,128.666161
根折,27.398025,128.620290
古里,27.368342,128.624373
皆川,27.370928,128.632488
和,27.394801,128.638703
和泊,27.392166,128.651277
