name,latitude,longitude
神奈川県,横浜市青葉区
寺家,35.569834,139.506229
鴨志田,35.560578,139.505653
奈良,35.562140,139.482790
恩田,35.543370,139.497071
すみよし台,35.553528,139.493895
元石川,35.580079,139.546187
美しが丘,35.581910,139.548820
あざみ野南,35.563053,139.551205
成合,35.564254,139.510409
さつきが丘,35.531751,139.520484
しらとり台,35.535172,139.513262
つつじが丘,35.538449,139.519620
梅が丘,35.535355,139.526308
藤が丘,35.541460,139.526663
田奈,35.538587,139.504368
青葉台,35.545494,139.518221
榎が丘,35.540851,139.510342
荏田北,35.559653,139.547361
千草台,35.538790,139.533426
下谷本,35.543582,139.538627
桜台,35.551274,139.515620
たちばな台,35.557081,139.515008
柿の木台,35.551118,139.528571
みたけ台,35.555185,139.521464
もえぎ野,35.547510,139.523110
桂台,35.550242,139.505510
若草台,35.553917,139.506338
松風台,35.545313,139.506136
新石川,35.572507,139.565526
みすずが丘,35.561703,139.540285
荏子田,35.579199,139.542615
あざみ野,35.567425,139.541028
上谷本,35.556638,139.526746
市ケ尾,35.548246,139.543069
大場,35.565266,139.535600
鉄,35.564667,139.521174
黒須田,35.567930,139.531912
荏田,35.560145,139.558080
すすき野,35.574630,139.530768
もみの木台,35.572919,139.524928
奈良,35.551311,139.488172
あかね台,35.542490,139.489215
緑山,35.568203,139.483079
