name,latitude,longitude
神奈川県,海老名市
河原口,35.449496,139.382276
中野,35.412676,139.38161
今里,35.428227,139.386113
社家,35.422593,139.37852
門沢橋,35.405424,139.371732
上河内,35.420968,139.390678
中河内,35.416074,139.390183
本郷,35.409273,139.395961
大谷南,35.432753,139.395619
大谷,35.438596,139.390539
中新田,35.432067,139.381304
上郷,35.455582,139.381791
下今泉,35.461556,139.385462
中央,35.453636,139.394716
国分南,35.454605,139.397581
杉久保,35.427731,139.392353
望地,35.451261,139.405526
国分寺台,35.434617,139.405291
浜田,35.443305,139.401469
勝瀬,35.446514,139.398054
さつき,35.446045,139.381006
東柏ケ谷,35.469247,139.431458
上今泉,35.465822,139.402344
柏ケ谷,35.463163,139.411962
扇,35.455726,139.388738
泉,35.460015,139.389494
めぐみ,35.453109,139.389094
