name,latitude,longitude
神奈川県,藤沢市
川名,35.335188,139.497169
片瀬山,35.324608,139.495208
弥勒寺,35.338235,139.496991
村岡東,35.338136,139.505245
宮前,35.336867,139.508821
辻堂,35.334698,139.448616
南藤沢,35.337063,139.49133
鵠沼石上,35.335824,139.488087
柄沢,35.353339,139.49683
藤が岡,35.34677,139.496945
鵠沼花沢,35.337128,139.483332
辻堂元,35.335675,139.464983
鵠沼橘,35.334822,139.485008
大鋸,35.341335,139.495356
本鵠沼,35.336515,139.472315
長後,35.419905,139.462425
高倉,35.412781,139.471419
江の島,35.299951,139.477418
片瀬海岸,35.308783,139.481923
片瀬,35.320405,139.487877
鵠沼藤が谷,35.322998,139.485049
片瀬目白山,35.315744,139.491909
鵠沼松が岡,35.321584,139.476004
鵠沼桜が岡,35.330732,139.482128
鵠沼海岸,35.32047,139.467985
辻堂太平台,35.332,139.464067
辻堂東海岸,35.323589,139.459644
辻堂西海岸,35.320374,139.44611
渡内,35.34966,139.503833
高谷,35.342086,139.503307
小塚,35.34112,139.514767
石川,35.374363,139.450398
円行,35.385911,139.461669
白旗,35.354845,139.481195
立石,35.364807,139.479947
善行,35.367318,139.474159
善行坂,35.363286,139.4626
稲荷,35.35615,139.460081
本藤沢,35.355287,139.47033
花の木,35.352631,139.475335
天神,35.375544,139.461635
湘南台,35.401777,139.472099
西富,35.348228,139.48734
鵠沼,35.339888,139.479858
鵠沼神明,35.340371,139.471534
藤沢,35.349017,139.47705
辻堂新,35.339509,139.455393
羽鳥,35.344576,139.457514
辻堂神台,35.339407,139.446209
朝日,35.340345,139.491911
本,35.34519,139.483535
城南,35.347813,139.461365
亀井野,35.381385,139.473573
みその台,35.355476,139.475986
大庭,35.360579,139.446351
善行団地,35.367412,139.464174
西俣野,35.376134,139.488809
今田,35.392711,139.476767
桐原,35.389037,139.454393
遠藤,35.384097,139.439616
獺郷,35.388805,139.406427
宮原,35.396619,139.402697
土棚,35.400938,139.45248
下土棚,35.40664,139.45858
葛原,35.407353,139.432605
打戻,35.391157,139.416991
菖蒲沢,35.398711,139.441176
用田,35.410387,139.416146
並木台,35.350921,139.502358
