name,latitude,longitude
神奈川県,横浜市西区
北幸,35.467075,139.619367
伊勢,35.450884,139.623265
東ケ丘,35.444470,139.624612
西戸部,35.447551,139.620034
御所山,35.454470,139.621782
赤門,35.442951,139.621182
老松,35.447269,139.624164
戸部本,35.456889,139.620749
桜木,35.459054,139.623485
南幸,35.465811,139.620623
高島,35.463443,139.622052
平沼,35.460503,139.619645
みなとみらい,35.461726,139.629806
花咲,35.453281,139.627202
戸部,35.451771,139.624350
宮崎,35.450221,139.626899
紅葉ケ丘,35.452518,139.625952
霞ケ丘,35.444410,139.618366
境之谷,35.445271,139.614006
西前,35.452526,139.616948
岡野,35.462132,139.615628
東久保,35.447698,139.607034
藤棚,35.448115,139.613727
浜松,35.452792,139.610604
久保,35.448813,139.610989
中央,35.455039,139.617005
浅間,35.461605,139.608043
西平沼,35.457443,139.612776
元久保,35.444869,139.606941
南浅間,35.455945,139.608250
浅間台,35.464431,139.607614
宮ケ谷,35.467393,139.607466
北軽井沢,35.470158,139.609913
南軽井沢,35.468418,139.611711
楠,35.467242,139.613427
