let,num
風,1
祭,1
早,1
川,5
入,1
生,1
田,12
根,3
府,3
米,1
神,1
江,1
之,3
浦,1
石,1
橋,3
浜,1
城,2
山,3
十,1
字,1
水,2
尾,2
内,2
栄,1
板,2
荻,1
窪,2
久,1
野,1
本,1
南,3
匂,3
曽,9
我,7
岸,1
東,3
ケ,1
丘,1
光,1
海,1
酒,2
扇,1
別,2
所,1
中,5
池,1
上,4
緑,1
小,4
八,1
幡,1
国,1
津,3
西,3
鴨,2
宮,2
下,3
新,7
寿,1
井,2
細,1
谷,2
村,1
原,3
前,1
羽,1
堀,3
里,1
高,1
多,1
古,1
穴,2
部,2
飯,2
泉,1
桑,1
岡,1
蓮,1
正,1
寺,1
北,1
ノ,1
屋,1
台,1
島,1
船,1
矢,1
作,1
成,1
延,1
清,2
永,1
塚,1
大,4
友,2
千,1
代,2
鬼,1
柳,2
竹,1
沼,1
沢,1
栢,1
比,1
