都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
14,神奈川県,14362,足柄上郡大井町,143620001000,柳,35.340438,139.176233,0,1
14,神奈川県,14362,足柄上郡大井町,143620002000,山田,35.335199,139.16922,0,1
14,神奈川県,14362,足柄上郡大井町,143620003000,赤田,35.332826,139.186144,0,1
14,神奈川県,14362,足柄上郡大井町,143620004000,金手,35.332316,139.141412,0,1
14,神奈川県,14362,足柄上郡大井町,143620005000,金子,35.333031999999996,139.153146,0,1
14,神奈川県,14362,足柄上郡大井町,143620006000,高尾,35.34736,139.185597,0,1
14,神奈川県,14362,足柄上郡大井町,143620007000,篠窪,35.351293,139.16789,0,1
14,神奈川県,14362,足柄上郡大井町,143620008000,西大井,35.319353,139.150384,0,1
14,神奈川県,14362,足柄上郡大井町,143620009000,上大井,35.320737,139.161321,0,1
14,神奈川県,14362,足柄上郡大井町,143620010000,大井中央,35.328896,139.154054,1,1
